Sound_3.5mmjack,Brand,has_LTE,has_5G,has_CDMA,has_CDMA2000,has_EVDO,number_of_sims,number_of_2g_bands,aws_support,number_of_3g_bands,is_foldable_phone,thickness,has_Nano_SIM,has_Micro_SIM,has_Mini_SIM,has_eSIM,has_SIM_Type_Specified,has_memory_card,memory_type_microSDXC,memory_type_microSDHC,Battery_Is_removable,Battery_Capacity,Battery_Type_Lithium,Sound_has_stereo_speakers,camera_hdr,camera_panorama,GPU_company,Number_of_cores,CPU_Brand,CPU_Transistor_Size,Is_OS_Upgradable,Resolution_Width,Resolution_Height,PPI,Display_Size,has_8k,has_4k,has_1440p,has_1080p,has_720p,has_480p,has_EIS,has_HDR,has_stereo,has_dolby_vision,has_OIS,max_resolution,ram,Total_Pixels,number_of_camera_features,maincamera_mp,selfiecamera_mp,latest_wifi_version,Bluetooth_version,has_nfc,USB_Type,operating_system
Yes,Huawei,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,7.5,0.0,0.0,0.0,0.0,0.0,True,True,False,Non-Removable,3000.0,Lithium Ion,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,> 20nm,True,Low,Medium,401,5.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,1.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
Yes,Asus,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,False,10.3,1.0,0.0,0.0,0.0,1.0,False,False,False,Non-Removable,6000.0,Lithium Polymer,Yes,1.0,1.0,Qualcomm,Mid_Core,qualcomm,5nm - 10nm,True,Low,High,395,6.78,1,1,0,1,1,0,1,0,0,0,0,8k,8-16,2643840.0,3.0,Ultra,High,4,5,1.0,Type-C,Android
Yes,Xiaomi,1.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,False,8.8,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,4000.0,Lithium Polymer,No,1.0,1.0,Qualcomm,Mid_Core,qualcomm,10nm - 20nm,True,Low,High,432,5.84,0,0,0,1,0,0,1,0,0,0,0,1080p,<= 4,2462400.0,3.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
Yes,Nokia,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,8.7,1.0,0.0,0.0,0.0,1.0,True,True,False,Removable,2500.0,Lithium Ion,No,0.0,0.0,Qualcomm,Low_Core,qualcomm,> 20nm,False,Low,Low,197,5.45,0,0,0,0,1,0,0,0,0,0,0,720p,<= 4,460800.0,1.0,Low,Low,1,Less than 4,0.0,Type-B,Android
Yes,Infinix,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,False,8.9,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5200.0,Lithium Ion,No,0.0,0.0,ARM,Mid_Core,mediatek,10nm - 20nm,False,Low,High,400,6.6,0,0,1,0,0,0,0,0,0,0,0,1440p,<= 4,2600640.0,1.0,Medium,Low,1,5,0.0,Type-C,Android
Yes,Samsung,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,False,7.9,0.0,1.0,0.0,0.0,1.0,True,True,False,Removable,2600.0,Lithium Ion,No,0.0,0.0,Qualcomm,Low_Core,qualcomm,> 20nm,True,Low,Medium,441,5.0,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,1.0,Medium,Low,2,Less than 4,1.0,Type-B,Android
Yes,Oppo,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,False,8.0,1.0,0.0,0.0,0.0,1.0,True,True,False,Non-Removable,5000.0,Lithium Polymer,Yes,1.0,0.0,ARM,Mid_Core,mediatek,5nm - 10nm,False,Low,Medium,269,6.56,0,0,0,1,0,0,0,0,0,0,0,1080p,6 - 8,1160640.0,2.0,High,Low,2,5,1.0,Type-C,Android
Yes,Meizu,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,False,9.7,1.0,0.0,0.0,0.0,1.0,True,True,False,Removable,3000.0,Lithium Ion,No,0.0,0.0,ARM,Low_Core,unisoc,> 20nm,False,Low,Medium,295,5.45,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,1036800.0,1.0,Medium,Medium,1,Less than 4,0.0,Type-B,Android
No,Apple,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,5.0,False,8.3,1.0,0.0,0.0,1.0,1.0,False,False,False,Non-Removable,3110.0,Lithium Ion,Yes,1.0,1.0,Apple,Mid_Core,apple,5nm - 10nm,True,Low,Medium,326,6.1,0,1,0,1,0,0,0,1,1,0,0,4k,<= 4,1483776.0,3.0,Medium,Medium,3,5,1.0,Lightning,IOS
Yes,Coolpad,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,False,8.9,0.0,0.0,0.0,0.0,0.0,True,True,False,Non-Removable,4010.0,Lithium Ion,No,0.0,0.0,Qualcomm,Mid_Core,qualcomm,> 20nm,False,Low,Medium,401,5.5,0,0,0,1,0,0,0,0,0,0,0,1080p,<= 4,2073600.0,1.0,Medium,Low,1,Less than 4,0.0,Type-B,Android
