Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Apple iPhone 12 mini,"[{'64GB 4GB RAM': '$\u2009184.00'}, {'128GB 4GB RAM': '$\u2009199.00'}, {'256GB 4GB RAM': '$\u2009229.99'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2176","HSPA, LTE, 5G, EV-DO Rev.A 3.1 Mbps",131.5 x 64.2 x 7.4 mm (5.18 x 2.53 x 0.29 in),135 g (4.76 oz),"Glass front, glass back, aluminum frame",Nano-SIM + ,"5.4 inches, 71.9 cm","1080 x 2340 pixels, 19.5:9 ratio (~476 ppi density)","iOS 14.1, upgradable to iOS 18.4",Apple A14 Bionic (5 nm),Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm),Apple GPU (4-core graphics),No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM","12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS,
12 MP, f/2.4, 13mm, 120˚ (ultrawide), 1/3.6""","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6"", 1.0µm,
SL 3D, (depth/biometrics sensor)","4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE",Yes,No,"Lightning, USB 2.0",Li-Ion 2227 mAh (8.57 Wh),"Wired, PD2.0, 50% in 30 min","Black, White, Red, Green, Blue, Purple",
Apple iPhone 12,"[{'64GB 4GB RAM': '$\u2009200.00'}, {'128GB 4GB RAM': '$\u2009259.00'}, {'256GB 4GB RAM': '$\u2009260.25'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2172","HSPA, LTE, 5G, EV-DO Rev.A 3.1 Mbps",146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),164 g (5.78 oz),"Glass front, glass back, aluminum frame",Nano-SIM + ,"6.1 inches, 90.2 cm","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)","iOS 14.1, upgradable to iOS 18.4",Apple A14 Bionic (5 nm),Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm),Apple GPU (4-core graphics),No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM","12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS,
12 MP, f/2.4, 13mm, 120˚ (ultrawide), 1/3.6""","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6"", 1.0µm,
SL 3D, (depth/biometrics sensor)","4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE",Yes,No,"Lightning, USB 2.0",Li-Ion 2815 mAh (10.78 Wh),"Wired, PD2.0, 50% in 30 min","Black, White, Red, Green, Blue, Purple",
Apple iPhone 12 Pro,"[{'128GB 6GB RAM': '$\u2009279.80'}, {'256GB 6GB RAM': '$\u2009323.00'}, {'512GB 6GB RAM': '$\u2009332.07'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2341","HSPA, LTE, 5G, EV-DO Rev.A 3.1 Mbps",146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),189 g (6.67 oz),"Glass front, glass back, stainless steel frame",Nano-SIM + ,"6.1 inches, 90.2 cm","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)","iOS 14.1, upgradable to iOS 18.4",Apple A14 Bionic (5 nm),Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm),Apple GPU (4-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM","12 MP, f/1.6, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom,
12 MP, f/2.4, 13mm, 120˚ (ultrawide), 1/3.4"", 1.0µm,
TOF 3D LiDAR scanner (depth)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, 10‑bit HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6"", 1.0µm,
SL 3D, (depth/biometrics sensor)","4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE",Yes,No,"Lightning, USB 2.0",Li-Ion 2815 mAh (10.78 Wh),"Wired, PD2.0, 50% in 30 min","Silver, Graphite, Gold, Pacific Blue",
Apple iPhone 12 Pro Max,"[{'128GB 6GB RAM': '$\u2009286.98'}, {'256GB 6GB RAM': '$\u2009333.82'}, {'512GB 6GB RAM': '$\u2009343.69'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2342","HSPA, LTE, 5G, EV-DO Rev.A 3.1 Mbps",160.8 x 78.1 x 7.4 mm (6.33 x 3.07 x 0.29 in),228 g (8.04 oz),"Glass front, glass back, stainless steel frame",Nano-SIM + ,"6.7 inches, 109.8 cm","1284 x 2778 pixels, 19.5:9 ratio (~458 ppi density)","iOS 14.1, upgradable to iOS 18.4",Apple A14 Bionic (5 nm),Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm),Apple GPU (4-core graphics),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM","12 MP, f/1.6, 26mm (wide), 1/1.9"", 1.7µm, dual pixel PDAF, sensor-shift OIS,
12 MP, f/2.2, 65mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2.5x optical zoom,
12 MP, f/2.4, 13mm, 120˚ (ultrawide), 1/3.4"", 1.0µm,
TOF 3D LiDAR scanner (depth)","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, 10‑bit HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6"", 1.0µm,
SL 3D, (depth/biometrics sensor)","4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE",Yes,No,"Lightning, USB 2.0",Li-Ion 3687 mAh (14.13 Wh),"Wired, PD2.0, 50% in 30 min","Silver, Graphite, Gold, Pacific Blue",
Apple iPad Pro 11 (2021),,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2301, A2459, A2460","HSPA, LTE, EV-DO Rev.A 3.1 Mbps, 5G",247.6 x 178.5 x 5.9 mm (9.75 x 7.03 x 0.23 in),"466 g (Wi-Fi), 470 g (5G) (1.03 lb)","Glass front, aluminum back, aluminum frame",Nano-SIM + ,"11.0 inches, 366.5 cm",1668 x 2388 pixels (~265 ppi density),"iPadOS 14.5.1, upgradable to iPadOS 18.4",Apple M1,Octa-core (4x3.2 GHz & 4xX.X GHz),Apple GPU (8-core graphics),No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM, 1TB 16GB RAM, 2TB 16GB RAM","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF,
10 MP, f/2.4, 125˚ (ultrawide),
TOF 3D LiDAR scanner (depth)","Quad-LED dual-tone flash, HDR","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS","12 MP, f/2.4, 122˚ (ultrawide)","1080p@25/30/60fps, gyro-EIS","Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE, EDR",No,No,"USB Type-C 4 (Thunderbolt 4), DisplayPort, magnetic connector",Li-Po 7538 mAh (28.65 Wh),,"Silver, Space Gray",About 870 EUR
Apple iPad Pro 12.9 (2021),,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2379, A2461, A2462","HSPA, LTE, EV-DO Rev.A 3.1 Mbps, 5G",280.6 x 214.9 x 6.4 mm (11.05 x 8.46 x 0.25 in),"682 g (Wi-Fi), 685 g (5G) (1.50 lb)","Glass front, aluminum back, aluminum frame",Nano-SIM + ,"12.9 inches, 515.3 cm","2048 x 2732 pixels, 4:3 ratio (~265 ppi density)","iPadOS 14.5.1, upgradable to iPadOS 18.4",Apple M1,Octa-core (4x3.2 GHz & 4xX.X GHz),Apple GPU (8-core graphics),No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM, 1TB 16GB RAM, 2TB 16GB RAM","12 MP, f/1.8, (wide), 1/3.0"", 1.22µm, dual pixel PDAF,
10 MP, f/2.4, 125˚ (ultrawide),
TOF 3D LiDAR scanner (depth)","Quad-LED dual-tone flash, HDR","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS","12 MP, f/2.4, 122˚ (ultrawide)","1080p@25/30/60fps, gyro-EIS","Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE, EDR",No,No,"USB Type-C 4 (Thunderbolt 4), DisplayPort, magnetic connector",Li-Po 10758 mAh (40.88 Wh),,"Silver, Space Gray",About 1200 EUR
Apple iPad 10.2 (2021),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 29, 30, 34, 38, 39, 40, 41, 66, 71 - A2603","HSPA, LTE (CA) - cellular model only",250.6 x 174.1 x 7.5 mm (9.87 x 6.85 x 0.30 in),487 g (Wi-Fi) / 498 g (LTE) (1.07 lb),"Glass front, aluminum back, aluminum frame",Nano-SIM + ,"10.2 inches, 322.2 cm","1620 x 2160 pixels, 4:3 ratio (~265 ppi density)","iPadOS 15, upgradable to iPadOS 18.4",Apple A13 Bionic (7 nm+),Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),No,"64GB 3GB RAM, 256GB 3GB RAM","8 MP, f/2.4, 31mm (standard), 1.12µm, AF","HDR, panorama","1080p@25/30fps, 720p@120fps; gyro-EIS","12 MP, f/2.4, 122˚ (ultrawide)","1080p@25/30/60fps, gyro-EIS","Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.2, A2DP, EDR, LE",No,No,"Lightning, USB 2.0; magnetic connector",Li-Ion 8557 mAh (32.4 Wh),,"Silver, Space Gray",About 430 EUR
Apple iPad mini (2021),,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 46, 48, 66, 71","HSPA, LTE (CA), 5G - cellular model only",195.4 x 134.8 x 6.3 mm (7.69 x 5.31 x 0.25 in),293 g (Wi-Fi) / 297 g (Wi-Fi + Cellular) (10.34 oz),"Glass front, aluminum back, aluminum frame",Nano-SIM + ,"8.3 inches, 203.9 cm","1488 x 2266 pixels, 3:2 ratio (~327 ppi density)","iPadOS 15, upgradable to iPadOS 18.4",Apple A15 Bionic (5 nm),Hexa-core (2x2.93 GHz + 4xX.X GHz),Apple GPU (5-core),No,"64GB 4GB RAM, 256GB 4GB RAM","12 MP, f/1.8, (wide), AF","Quad-LED dual-tone flash, HDR, panorama","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS","12 MP, f/2.4, 122˚ (ultrawide)","1080p@25/30/60fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP",No,No,"USB Type-C 3.1, DisplayPort",Li-Ion 5078 mAh (19.3 Wh),,"Space Gray, Pink, Purple, Starlight",About 550 EUR
Apple iPhone 13 mini,"[{'128GB 4GB RAM': '$\u2009266.95'}, {'256GB 4GB RAM': '$\u2009168.74'}, {'512GB 4GB RAM': '$\u2009308.98'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66 - A2628, A2629, A2630","HSPA, LTE, 5G, EV-DO Rev.A 3.1 Mbps",131.5 x 64.2 x 7.7 mm (5.18 x 2.53 x 0.30 in),141 g (4.97 oz),"Glass front, glass back, aluminum frame",Nano-SIM + ,"5.4 inches, 71.9 cm","1080 x 2340 pixels, 19.5:9 ratio (~476 ppi density)","iOS 15, upgradable to iOS 18.4",Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (4-core graphics),No,"128GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","12 MP, f/1.6, 26mm (wide), 1/1.9"", 1.7µm, dual pixel PDAF, sensor-shift OIS,
12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.4"", 1.0µm","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6"", 1.0µm,
SL 3D, (depth/biometrics sensor)","4K@24/25/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE",Yes,No,"Lightning, USB 2.0",Li-Ion 2438 mAh (9.34 Wh),"Wired, PD2.0, 50% in 30 min","Starlight, Midnight, Blue, Pink, Red, Green",
Apple iPhone 13,"[{'128GB 4GB RAM': '$\u2009273.95'}, {'256GB 4GB RAM': '$\u2009329.99'}, {'512GB 4GB RAM': '$\u2009353.51'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66 - A2633, A2634, A2635","HSPA, LTE, 5G, EV-DO Rev.A 3.1 Mbps",146.7 x 71.5 x 7.7 mm (5.78 x 2.81 x 0.30 in),174 g (6.14 oz),"Glass front, glass back, aluminum frame",Nano-SIM + ,"6.1 inches, 90.2 cm","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)","iOS 15, upgradable to iOS 18.4",Apple A15 Bionic (5 nm),Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard),Apple GPU (4-core graphics),No,"128GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","12 MP, f/1.6, 26mm (wide), 1/1.9"", 1.7µm, dual pixel PDAF, sensor-shift OIS,
12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.4"", 1.0µm","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6"", 1.0µm,
SL 3D, (depth/biometrics sensor)","4K@24/25/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE",Yes,No,"Lightning, USB 2.0",Li-Ion 3240 mAh (12.41 Wh),"Wired, PD2.0, 50% in 30 min","Starlight, Midnight, Blue, Pink, Red, Green",
