Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Google Pixel C,,No cellular connectivity, N/A,,,,242 x 179 x 7 mm (9.53 x 7.05 x 0.28 in),517 g (1.14 lb),,No,"10.2 inches, 313.8 cm",2560 x 1800 pixels (~308 ppi density),"Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo)",Nvidia Tegra X1,Quad-core 1.9 GHz,Nvidia Maxwell,No,"32GB 3GB RAM, 64GB 3GB RAM","8 MP, f/2.4",,1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct","4.1, A2DP",No,No,USB Type-C 3.0,"Li-Po 9240 mAh, non-removable (34.2 Wh)",,Silver Aluminum,About 340 EUR
Google Pixel,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 21, 26, 28, 32, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat9 450/50 Mbps or LTE (3CA) Cat11 600/75 Mbps",143.8 x 69.5 x 8.5 mm (5.66 x 2.74 x 0.33 in),143 g (5.04 oz),"Glass front (Gorilla Glass 4), aluminum/glass back, aluminum frame",Nano-SIM,"5.0 inches, 68.9 cm","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Android 7.1 (Nougat), upgradable to Android 10",Qualcomm MSM8996 Snapdragon 821 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,No,"32GB 4GB RAM, 128GB 4GB RAM","12.3 MP, f/2.0, 1/2.3"", 1.55µm, PDAF","Laser AF, Dual-LED flash, HDR, panorama","4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps","8 MP, f/2.4, 1/3.2"", 1.4µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","4.2, A2DP, LE, aptX",Yes,No,USB Type-C 3.0,"Li-Ion 2770 mAh, non-removable","18W wired, PD","Quite Black, Very Silver, Really Blue",About 290 EUR
Google Pixel XL,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 21, 26, 28, 32, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat9 450/50 Mbps or LTE (3CA) Cat11 600/75 Mbps",154.7 x 75.7 x 8.5 mm (6.09 x 2.98 x 0.33 in),168 g (5.93 oz),"Glass front (Gorilla Glass 4), aluminum/glass back, aluminum frame",Nano-SIM,"5.5 inches, 83.4 cm","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","Android 7.1 (Nougat), upgradable to Android 10",Qualcomm MSM8996 Snapdragon 821 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,No,"32GB 4GB RAM, 128GB 4GB RAM","12.3 MP, f/2.0, 1/2.3"", 1.55µm, PDAF","Laser AF, Dual-LED flash, HDR, panorama","4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps","8 MP, f/2.4, 1/3.2"", 1.4µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","4.2, A2DP, LE, aptX",Yes,No,USB Type-C 3.0,"Li-Ion 3450 mAh, non-removable","18W wired, PD","Quite Black, Very Silver, Really Blue",About 400 EUR
Google Pixel 2 XL,,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 29, 30, 32, 38, 40, 41, 66","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat15 800/75 Mbps",157.9 x 76.7 x 7.9 mm (6.22 x 3.02 x 0.31 in),175 g (6.17 oz),"Glass front (Gorilla Glass 5), aluminum/glass back, aluminum frame",Nano-SIM + ,"6.0 inches, 92.6 cm","1440 x 2880 pixels, 18:9 ratio (~538 ppi density)","Android 8.0 (Oreo), upgradable to Android 11",Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,No,"64GB 4GB RAM, 128GB 4GB RAM","12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","Laser AF, Dual-LED flash, HDR, panorama","4K@30fps (gyro-EIS), 1080p@30/60/120fps (gyro-EIS), 720p@240fps (gyro-EIS)","8 MP, f/2.4, 25mm (wide), 1/3.2"", 1.4µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD",Yes,No,USB Type-C 3.1,"Li-Ion 3520 mAh, non-removable","10.5W wired (capped), PD2.0","Just Black, Black & White",About 520 EUR
Google Pixel 2,,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 29, 30, 32, 38, 40, 41, 66","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat15 800/75 Mbps",145.7 x 69.7 x 7.8 mm (5.74 x 2.74 x 0.31 in),143 g (5.04 oz),"Glass front (Gorilla Glass 5), aluminum/glass back, aluminum frame",Nano-SIM + ,"5.0 inches, 68.9 cm","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","Android 8.0 (Oreo), upgradable to Android 11",Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,No,"64GB 4GB RAM, 128GB 4GB RAM","12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","Laser AF, Dual-LED flash, HDR, panorama","4K@30fps (gyro-EIS), 1080p@30/60/120fps (gyro-EIS), 720p@240fps (gyro-EIS)","8 MP, f/2.4, 27mm (wide), 1/3.2"", 1.4µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD",Yes,No,USB Type-C 3.1,"Li-Ion 2700 mAh, non-removable","10.5W wired (capped), PD2.0","Kinda Blue, Just Black, Clearly White",About 610 EUR
Google Pixel 3,,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 38, 39, 40, 41, 42, 46, 66, 71","HSPA 42.2/5.76 Mbps, LTE (5CA) Cat16 1024/75 Mbps",145.6 x 68.2 x 7.9 mm (5.73 x 2.69 x 0.31 in),148 g (5.22 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM + ,"5.5 inches, 76.7 cm","1080 x 2160 pixels, 18:9 ratio (~443 ppi density)","Android 9.0 (Pie), upgradable to Android 12",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.5 GHz Kryo 385 Gold & 4x1.6 GHz Kryo 385 Silver),Adreno 630,No,"64GB 4GB RAM, 128GB 4GB RAM","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","Dual-LED flash, Pixel Shift, Auto-HDR, panorama","4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","8 MP, f/1.8, 28mm (wide), PDAF,
8 MP, f/2.2, 19mm (ultrawide), no AF",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD",Yes,No,USB Type-C 3.1,"Li-Po 2915 mAh, non-removable","18W wired, PD2.0","Clearly White, Just Black, Not Pink",About 450 EUR
Google Pixel 3 XL,,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 38, 39, 40, 41, 42, 46, 66, 71","HSPA 42.2/5.76 Mbps, LTE (5CA) Cat16 1024/75 Mbps",158 x 76.7 x 7.9 mm (6.22 x 3.02 x 0.31 in),184 g (6.49 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM + ,"6.3 inches, 100.3 cm","1440 x 2960 pixels, 18.5:9 ratio (~523 ppi density)","Android 9.0 (Pie), upgradable to Android 12",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.5 GHz Kryo 385 Gold & 4x1.6 GHz Kryo 385 Silver),Adreno 630,No,"64GB 4GB RAM, 128GB 4GB RAM","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","Dual-LED flash, Pixel Shift, Auto-HDR, panorama","4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","8 MP, f/1.8, 28mm (wide), PDAF,
8 MP, f/2.2, 19mm (ultrawide), no AF",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD",Yes,No,USB Type-C 3.1,"Li-Po 3430 mAh, non-removable","18W wired, PD2.0","Clearly White, Just Black, Not Pink",About 260 EUR
Google Pixel 3a,[{'64GB 4GB RAM': '$\u200998.50'}],GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66, 71","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat11 600/75 Mbps",151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in),147 g (5.19 oz),"Glass front (Asahi Dragontrail), plastic back, plastic frame",Nano-SIM + ,"5.6 inches, 79.6 cm","1080 x 2220 pixels, 18.5:9 ratio (~441 ppi density)","Android 9.0 (Pie), upgradable to Android 12",Qualcomm SDM670 Snapdragon 670 (10 nm),Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 615,No,64GB 4GB RAM,"12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","Dual-LED flash, Pixel Shift, HDR, panorama","4K@30fps, 1080p@30/60/120fps","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD",Yes,No,USB Type-C 2.0,"Li-Po 3000 mAh, non-removable","18W wired, PD2.0","Just Black, Clearly White, Purple-ish",
Google Pixel 3a XL,,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 28, 29, 30, 38, 40, 41, 66, 71","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat11 600/75 Mbps",160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in),167 g (5.89 oz),"Glass front (Asahi Dragontrail), plastic back, plastic frame",Nano-SIM + ,"6.0 inches, 92.9 cm","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Android 9.0 (Pie), upgradable to Android 12",Qualcomm SDM670 Snapdragon 670 (10 nm),Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 615,No,64GB 4GB RAM,"12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","Dual-LED flash, Pixel Shift, HDR, panorama","4K@30fps, 1080p@30/60/120fps","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD",Yes,No,USB Type-C 2.0,"Li-Po 3700 mAh, non-removable","18W wired, PD2.0","Just Black, Clearly White, Purple-ish",About 290 EUR
Google Pixel 4,"[{'64GB 6GB RAM': '$\u2009107.99'}, {'128GB 6GB RAM': '$\u2009105.99'}]",GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global","HSPA 42.2/5.76 Mbps, LTE (5CA) Cat18 1200/150 Mbps",147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in),162 g (5.71 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM + ,"5.7 inches, 80.7 cm","1080 x 2280 pixels, 19:9 ratio (~444 ppi density)","Android 10, upgradable to Android 13",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"64GB 6GB RAM, 128GB 6GB RAM","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom","Dual-LED flash, Pixel Shift, Auto-HDR, panorama","4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","8 MP, f/2.0, 22mm (wide), 1.22µm, no AF,
TOF 3D, (depth/biometrics sensor)",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD",Yes,No,USB Type-C 3.1,"Li-Po 2800 mAh, non-removable","18W wired, PD2.0","Clearly White, Just Black, Oh So Orange",
