Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Honor Magic V Flip,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE, 5G",Unfolded: 167.3 x 75.6 x 7.2 mm,193 g (6.81 oz),Aluminum frame,Nano-SIM + Nano-SIM,"6.8 inches, 108.0 cm","1080 x 2520 pixels, 21:9 ratio (~403 ppi density)","Android 14, MagicOS 8",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM","50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
12 MP, f/2.2, 112˚ (ultrawide), AF","LED flash, HDR, panorama","4K, 1080p, gyro-EIS","50 MP, f/2.0, (wide), AF","4K, 1080p","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD",Yes,No,"USB Type-C 2.0, OTG",Si/C Li-Ion 4800 mAh,"66W wired, 45% in 15 min","Black, White, Champagne, Green",About 640 EUR
Honor X7b 5G (50 MP),,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,"HSPA, LTE, 5G",166.7 x 76.5 x 8.2 mm (6.56 x 3.01 x 0.32 in),199 g (7.02 oz),,Nano-SIM + Nano-SIM,"6.8 inches, 111.3 cm","1080 x 2412 pixels, 20:9 ratio (~389 ppi density)","Android 13, Magic OS 7.2",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,256GB 8GB RAM,"50 MP, f/1.8, (wide), PDAF,
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Po 6000 mAh,35W wired,"Crystal Silver, Emerald Green, Midnight Black",About 200 EUR
Honor Play 60 Plus,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,"HSPA, LTE, 5G",167 x 76.8 x 8.1 mm (6.57 x 3.02 x 0.32 in),197 g or 199 g (6.95 oz),,Nano-SIM + Nano-SIM,"6.77 inches, 110.2 cm","720 x 1610 pixels, 20:9 ratio (~261 ppi density)","Android 14, Magic OS 8",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,Unspecified,"256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), PDAF,
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",No,No,"USB Type-C 2.0, OTG",Li-Po 6000 mAh,35W wired,"Green, Black, White",About 200 EUR
Honor Magic V3,"[{'256GB 12GB RAM': '$\u20091,590.00'}, {'512GB 12GB RAM': '$\u20091,540.00'}]",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66","HSPA, LTE, 5G",Unfolded: 156.6 x 145.3 x 4.35 mm or 4.4 mm,226 g or 230 g (7.97 oz),"Glass front, nylon fiber back, aluminum frame",Nano-SIM + ,"7.92 inches, 201.6 cm",2156 x 2344 pixels (~402 ppi density),"Android 14, upgradable to Android 15, MagicOS 9",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.6, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
50 MP, f/3.0, 90mm (periscope telephoto), 1/2.51"", 0.7µm, PDAF, OIS, 3.5x optical zoom,
40 MP, f/2.2, 16mm, 112˚ (ultrawide), AF","Laser AF, LED flash, HDR, panorama","4K@30/60fps (10-bit), 1080p@30/60fps, gyro-EIS, OIS","20 MP, f/2.2, 90˚, 21mm (wide), 0.61µm,
Cover camera:,
20 MP, f/2.2, 90˚, 21mm (wide), 0.61µm","4K@30fps, 1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, LDAC","Yes; NFC-SIM, HCE",No,"USB Type-C 3.1, OTG, Display Port 1.2",Si/C Li-Ion 5150 mAh,66W wired,"Velvet Black, Snow, Tundra Green, Red",
Honor Magic Vs3,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66","HSPA, LTE, 5G",Unfolded: 156.8 x 145.2 x 4.65 mm or 4.8 mm,229 g or 231 g (8.08 oz),,Nano-SIM + ,"7.92 inches, 201.6 cm",2156 x 2344 pixels (~402 ppi density),"Android 14, MagicOS 8.0.1",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","50 MP, f/1.9, (wide), 1/1.56"", PDAF, OIS,
8 MP, f/3.4, (periscope telephoto), PDAF, OIS, 5x optical zoom,
40 MP, f/2.2, 112˚, (ultrawide), AF","Laser AF, LED flash, HDR, panorama","4K@30/60fps (10-bit), 1080p@30/60fps, gyro-EIS, OIS","16 MP, f/2.2, 90˚, (wide),
Cover camera:,
16 MP, f/2.2, 90˚, (wide)","4K@30fps, 1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, LDAC","Yes; NFC-SIM, HCE",No,"USB Type-C 3.1, OTG, Display Port 1.2",Li-Po 5000 mAh,66W wired,"Velvet Black, Snow, Tundra Green",About 980 EUR
Honor Pad 9 Pro,,No cellular connectivity, N/A, N/A,,,277 x 179.9 x 6.6 mm (10.91 x 7.08 x 0.26 in),589 g (1.30 lb),"Glass front, aluminum frame, aluminum back",No,"12.1 inches, 424.5 cm","1600 x 2560 pixels, 16:10 ratio (~249 ppi density)","Android 14, Magic OS 8.1",Mediatek Dimensity 8100 (5 nm),Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 12GB RAM, 256GB 8GB RAM","13 MP, f/2.0, (wide), AF",HDR,"4K@30fps, 1080p@30fps","5 MP, f/2.2, (wide)",1080p@30fps,"Yes, with stereo speakers (8 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE",No,No,"USB Type-C 2.0, OTG",Li-Po 10050 mAh,35W wired,"Sky Blue, Star Gray",About 290 EUR
Honor MagicPad 2 12.3,,No cellular connectivity, N/A, N/A, N/A,,274.5 x 180.5 x 5.8 mm (10.81 x 7.11 x 0.23 in),555 g (1.22 lb),,No,"12.3 inches, 443.2 cm",1920 x 3000 pixels (~290 ppi density),"Android 14, MagicOS 8.0.1",Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","13 MP, f/2.0, AF","LED flash, HDR","4K@30fps, 1080p@30fps","9 MP, f/2.2",1080p@30fps,"Yes, with stereo speakers (8 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.3, A2DP, LE, aptX HD, LDAC",No,No,"USB Type-C 2.0, OTG",Li-Po 10050 mAh,66W wired,"Moonlight White, Sky Blue, Starry Black",About 600 EUR
Honor X60i,,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,"HSPA, LTE, 5G",161.1 x 74.6 x 7.2 mm (6.34 x 2.94 x 0.28 in),172 g (6.07 oz),,Nano-SIM + Nano-SIM,"6.7 inches, 108.0 cm","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)","Android 14, MagicOS 8",Mediatek Dimensity 6080 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), PDAF,
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD",No,No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,35W wired,"Black, Blue, Purple, White",About 180 EUR
Honor Pad X8a,,No cellular connectivity, N/A, N/A, N/A,,257 x 168.5 x 7.3 mm (10.12 x 6.63 x 0.29 in),495 g (1.09 lb),"Glass front, aluminum frame, aluminum back",No,"11.0 inches, 350.9 cm","1200 x 1920 pixels, 16:10 ratio (~206 ppi density)","Android 14, MagicOS 8",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,No,"64GB 4GB RAM, 128GB 4GB RAM","5 MP, f/2.2, AF",HDR,1080p@30fps,"5 MP, f/2.2",1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE",No,No,"USB Type-C, OTG",Li-Ion 8300 mAh,,Space Gray,About 150 EUR
Honor 200 Smart,[{'256GB 4GB RAM': '$\u2009191.39'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE, 5G",166.9 x 76.8 x 8.1 mm (6.57 x 3.02 x 0.32 in),191 g or 193 g (6.74 oz),,Nano-SIM + Nano-SIM,"6.8 inches, 111.3 cm","1080 x 2412 pixels, 20:9 ratio (~389 ppi density)","Android 14, Magic OS 8",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,No,"256GB 4GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF,
2 MP, f/2.4, (depth)","LED flash, HDR",1080p@30fps,"5 MP, f/2.2, (wide)",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",No,No,"USB Type-C 2.0, OTG",Li-Po 5200 mAh,35W wired,"Midnight Black, Forest Green",
