Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
HTC U23,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 3, 5, 7, 8, 12, 17, 20, 28, 38, 39, 40, 41","HSPA, LTE, 5G",166.6 x 77.1 x 8.9 mm (6.56 x 3.04 x 0.35 in),202 g (7.13 oz),,Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",Android 13,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,microSDXC,128GB 8GB RAM,"64 MP, f/1.9, (wide), PDAF,
8 MP, f/2.4, 120˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (depth)","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.2, A2DP, LE",Yes,No,USB Type-C 3.0,Li-Ion 4600 mAh,30W wired,"Aqua Blue, Roland Violet",
HTC Wildfire E star,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 38, 40, 41","HSPA, LTE",164.8 x 76.5 x 9.2 mm (6.49 x 3.01 x 0.36 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.52 inches, 102.6 cm","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Android 12 (Go edition),Unisoc SC9832E (28 nm),Quad-core 1.4 GHz,Mali-T820 MP1,microSDXC (uses shared SIM slot),16GB 2GB RAM,"8 MP, f/2.2, (wide), AF,
0.08 MP, f/2.8 (auxiliary lens)",LED flash,1080p@30fps,"5 MP, f/2.2, (wide)",720p@30fps,Yes,Yes,WLANWi-Fi 802.11 a/b/g/n,"4.2, A2DP",No,Unspecified,USB Type-C 2.0,Li-Ion 3000 mAh,,Gray,About 100 EUR
HTC A104,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41","HSPA, LTE",245.6 x 155.4 x 8 mm (9.67 x 6.12 x 0.31 in),460 g (1.01 lb),,Nano-SIM + Nano-SIM,"10.36 inches, 305.5 cm","1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",Android 13,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (uses shared SIM slot),128GB 8GB RAM,"5 MP, f/2.2, AF",LED flash,1080p,"5 MP, f/2.2",1080p,"Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",No,No,"USB Type-C 2.0, OTG, magnetic connector",7000 mAh,10W wired,"Black, Silver",About 180 EUR
HTC A101 Plus,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 , LTE,"HSPA, LTE",256.6 x 168.2 x 7.5 mm (10.10 x 6.62 x 0.30 in),501 g (1.10 lb),,Nano-SIM + Nano-SIM,"10.95 inches, 347.7 cm","1200 x 1920 pixels, 16:10 ratio (~207 ppi density)",Android 14,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (uses shared SIM slot),128GB 8GB RAM,"13 MP,
Secondary lens",LED flash,1080p,8 MP,,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",No,No,"USB Type-C 2.0, OTG, magnetic connector",7000 mAh,10W wired,"Gray, Silver",About 150 EUR
HTC U24 Pro,[{'256GB 12GB RAM': '$\u2009579.99'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 28, 38, 39, 40, 41","HSPA, LTE, 5G",167.1 x 74.9 x 9 mm (6.58 x 2.95 x 0.35 in),198.7 g (7.02 oz),"Glass front (Gorilla Glass), aluminum frame, plastic back",Nano-SIM + Nano-SIM,"6.8 inches, 110.5 cm",1080 x 2436 pixels (~392 ppi density),Android 14,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 4x2.4 GHz Cortex-A715 & 3x1.8 GHz Cortex-A510),Adreno 720,microSDXC,"256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, (wide), PDAF, OIS,
50 MP, f/2.0, (telephoto), PDAF, 2x optical zoom,
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm","Dual-LED flash, HDR, panorama, Best Take","4K@30fps (HDR), 1080p@30fps, gyro-EIS, OIS","50 MP, f/2.5, (wide), AF",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band","5.3, A2DP, LE",Yes,No,USB Type-C 3.0,4600 mAh,"60W wired, PD3.0, QC4","Space Blue, Twilight White",
HTC Wildfire E5 Plus,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 38, 40, 41","HSPA, LTE",168.4 x 77.9 x 9.5 mm (6.63 x 3.07 x 0.37 in),218 g (7.69 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.75 inches, 110.0 cm","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",Android 14,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (uses shared SIM slot),128GB 6GB RAM,"50 MP, f/1.8, (wide), AF,
2 MP, f/2.4",LED flash,1080p@30fps,"16 MP, f/2.2, (wide)",Yes,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",No,Unspecified,USB Type-C 2.0,5000 mAh,,"Gray, Blue",About 90 EUR
HTC Desire 10 Lifestyle,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 40","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",156.9 x 76.9 x 7.7 mm (6.18 x 3.03 x 0.30 in),155 g (5.47 oz),,Nano-SIM + Nano-SIM,"5.5 inches, 83.4 cm","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8928 Snapdragon 400 (28 nm),Quad-core 1.4 GHz Cortex-A7,Adreno 305,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.2, 28mm (wide), AF","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.8, 34mm (standard)",1080p@30fps,"Yes, with stereo speakers",Yes,WLANWi-Fi 802.11 b/g/n,"4.1, A2DP, LE",No,FM radio,microUSB 2.0,"Li-Ion 2700 mAh, non-removable",,"Stone Black, Polar White, Royal Blue, Valentine Lux",About 200 EUR
HTC One A9s,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 38, 40","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",146.5 x 71.5 x 8 mm (5.77 x 2.81 x 0.31 in),149.8 g (5.29 oz),,Nano-SIM,"5.0 inches, 68.9 cm","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 6.0 (Marshmallow), Sense UI",Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.2, 28mm (wide), 1.12µm, AF","LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.8, 34mm (standard), 1/5.0"", 1.12µm",,Yes,Yes,WLANWi-Fi 802.11 a/b/g/n,"4.2, A2DP",Yes (payments only),FM radio,microUSB 2.0,"Li-Ion 2300 mAh, non-removable",10W wired,"Black, Silver, Gold",About 150 EUR
HTC Desire 10 Compact,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 , LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",148.6 x 72 x 7.5 mm (5.85 x 2.83 x 0.30 in),148 g (5.22 oz),,Nano-SIM + Micro-SIM,"5.0 inches, 68.9 cm","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6737T (28 nm),Quad-core 1.5 GHz Cortex-A7,Mali-T720,microSDXC,32GB 3GB RAM,"13 MP, f/2.2, 28mm (wide), AF","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.8, 34mm (standard)",,Yes,Yes,WLANWi-Fi 802.11 b/g/n,"4.1, A2DP, LE",No,FM radio,microUSB 2.0,"Li-Ion 3300 mAh, non-removable",,"Polar White, Stone Black",About 150 EUR
HTC Desire 10 Pro,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",156.5 x 76 x 7.9 mm (6.16 x 2.99 x 0.31 in),165 g (5.82 oz),"Glass front (Gorilla Glass), aluminum back, aluminum frame",Nano-SIM + Nano-SIM,"5.5 inches, 83.8 cm","1080 x 1920 pixels, 16:9 ratio (~400 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (uses shared SIM slot),64GB 4GB RAM,"20 MP, f/2.2, 28mm (wide)","Laser AF, Dual-LED dual-tone flash, panorama",1080p@30fps,"13 MP, f/2.2, 28mm (wide), 1/3.1"", 1.12µm",1080p@30fps,"Yes, dual mono speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct","4.2, A2DP, LE",Yes,FM radio,microUSB 2.0,"Li-Ion 3000 mAh, non-removable",10W wired,"Stone Black, Polar White, Royal Blue, Valentine Lux, Mint Green",About 260 EUR
