Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Huawei Pura 70 Ultra,"[{'512GB 16GB RAM': '$\u20091,440.00'}, {'1TB 16GB RAM': '$\u20091,049.59'}]",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42","HSPA, LTE, 5G",162.6 x 75.1 x 8.4 mm (6.40 x 2.96 x 0.33 in),226 g (7.97 oz),"Glass front, aluminum frame, silicone polymer back (eco leather)",Nano-SIM + Nano-SIM,"6.8 inches, 109.0 cm",1260 x 2844 pixels (~460 ppi density),"EMUI 14.2 (International), HarmonyOS 4.2 (China)",Kirin 9010 (7 nm),Octa-core (1x2.3 GHz Taishan Big & 3x2.18 GHz Taishan Mid & 4x1.55 GHz  Cortex-A510),,No,"512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.6-4.0, 23mm (wide), 1.0""-type, dual pixel PDAF, sensor-shift OIS, retractable lens,
50 MP, f/2.1, 90mm (telephoto), PDAF (5cm - ∞), OIS, 3.5x optical zoom,
40 MP, f/2.2, 13mm (ultrawide), AF","Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K, 1080p, HDR, gyro-EIS, OIS","13 MP, f/2.4, (ultrawide), AF","Yes, HDR","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, L2HC","Yes; NFC-SIM, HCE",No,"USB Type-C 3.1, OTG, DisplayPort 1.2",Li-Po 5200 mAh,100W wired,"Black, White, Brown, Green",
Huawei MatePad 11.5 S,,No cellular connectivity, N/A, N/A, N/A,,261 x 177.2 x 6.2 mm (10.28 x 6.98 x 0.24 in),510 g (1.12 lb),,No,"11.5 inches, 391.6 cm","1840 x 2800 pixels, 3:2 ratio (~291 ppi density)",Harmony OS 4.2,,Octa-core,,No,"128GB 8GB RAM, 256GB 8GB RAM","13 MP, f/1.8, (wide), AF","LED flash, panorama",1080p@30fps,"8 MP, f/2.0",1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.2, A2DP, LE",No,No,"USB Type-C 3.0, OTG, magnetic accessory connector",8800 mAh,22.5W wired,"Space Gray, Silver Frost, Violet",
Huawei MatePad SE 11,,No cellular connectivity, N/A, N/A, N/A,,252.3 x 163.8 x 6.9 mm (9.93 x 6.45 x 0.27 in),475 g (1.05 lb),"Glass front, aluminum frame, aluminum back",No,"11.0 inches, 350.9 cm","1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",HarmonyOS 2.0,,,,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","8 MP, f/2.0, AF",Panorama,1080p@30fps,"5 MP, f/2.2",720p@30fps,"Yes, with stereo speakers (4 speakers)",Unspecified,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE",No,No,"USB Type-C 2.0, OTG",7700 mAh,22.5W wired,"Nebula Gray, Crystal Blue",
Huawei nova Flip,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE",Unfolded: 169.8 x 75.4 x 6.9 mm,195 g or 199 g (6.88 oz),,Nano-SIM + Nano-SIM,"6.94 inches, 111.4 cm",1136 x 2690 pixels (~421 ppi density),HarmonyOS 4.2,,Octa-core,,No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","50 MP, f/1.9, 23mm (wide), 1/1.56"", PDAF, OIS,
8 MP, f/2.2, 112˚ (ultrawide)","Laser AF, color spectrum sensor, LED flash, HDR, panorama","4K, 1080p, gyro-EIS","32 MP, f/2.2, 21mm (ultrawide)","4K, 1080p","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, L2HC",Yes,No,"USB Type-C 2.0, OTG",Li-Po 4400 mAh,"66W wired, 100% in 40 min","Green, Pink, White, Black",About 680 EUR
Huawei MatePad Pro 12.2 (2024),,No cellular connectivity, N/A, N/A, N/A,,271.3 x 182.5 x 5.5 mm (10.68 x 7.19 x 0.22 in),508 g (1.12 lb),,No,"12.2 inches, 440.7 cm","2800 x 1840 pixels, 3:2 ratio (~275 ppi density)",HarmonyOS 4.2,Kirin 9000S (7 nm),Octa-core (1x2.62 GHz Taishan Big & 3x2.15 GHz Taishan Mid & 4x1.53GHz Cortex-A510),Maleoon 910 MP4,No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","13 MP, f/1.8, (wide), PDAF,
8 MP, f/2.2, (ultrawide)","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","16 MP, f/2.2",1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.2, A2DP, LE",No,No,"USB Type-C 3.1, OTG",Li-Po 10100 mAh,"100W wired, 85% in 40 min, 100% in 55 min","Gold, White, Black",About 570 EUR
Huawei MatePad Air (2024),,No cellular connectivity, N/A, N/A, N/A,,270 x 183 x 5.9 mm (10.63 x 7.20 x 0.23 in),555 g (1.22 lb),,No,"12.0 inches, 426.4 cm","2800 x 1840 pixels, 3:2 ratio (~279 ppi density)",HarmonyOS 4.2,,,,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","13 MP, f/1.8, (wide), PDAF,
8 MP, f/2.2, (ultrawide)",LED flash,"4K@30fps, 1080p@30fps","8 MP, f/2.2",1080p@30fps,"Yes, with stereo speakers (6 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.2, A2DP, LE",No,No,"USB Type-C 3.1, OTG, magnetic accessory connector",Li-Po 10100 mAh,66W wired,"Pink, Green, White, Gray",About 370 EUR
Huawei MatePad 12 X,,No cellular connectivity, N/A, N/A, N/A,,270 x 183 x 5.9 mm (10.63 x 7.20 x 0.23 in),555 g (1.22 lb),,No,"12.0 inches, 426.4 cm","2800 x 1840 pixels, 3:2 ratio (~279 ppi density)",HarmonyOS 4.2,Kirin T90A,Octa-core,,No,"256GB 8GB RAM, 256GB 12GB RAM","13 MP, f/1.8, (wide), PDAF,
8 MP, f/2.2, (ultrawide)",LED flash,"4K@30fps, 1080p@30fps","8 MP, f/2.2",1080p@30fps,"Yes, with stereo speakers (6 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.2, A2DP, LE",No,No,"USB Type-C 3.1, OTG, magnetic accessory connector",Li-Po 10100 mAh,66W wired,"White, Greenery",About 850 EUR
Huawei nova 13,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE, 5G",161.4 x 75.3 x 7 mm (6.35 x 2.96 x 0.28 in),195 g (6.88 oz),,Nano-SIM + Nano-SIM,"6.7 inches, 108.3 cm","1084 x 2412 pixels, 20:9 ratio (~395 ppi density)",HarmonyOS 4.2,,,,No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","50 MP, f/1.9, (wide), PDAF,
8 MP, f/2.2, 112˚ (ultrawide), AF","Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K, 1080p, gyro-EIS","60 MP, f/2.4, 17mm, 100˚ (ultrawide)","4K@30fps, 1080p@30fps, gyro-EIS",Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, L2HC (320-960 kbps HD audio)","Yes; NFC-SIM, HCE",No,"USB Type-C 2.0, OTG",5000 mAh,"100W wired, 3-50% in 10 min","Black, White, Purple, Green",About 350 EUR
Huawei nova 13 Pro,"[{'256GB': '$\u2009509.59'}, {'512GB': '€\u2009699.00'}]",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE, 5G",163.4 x 74.9 x 7.8 mm (6.43 x 2.95 x 0.31 in),209 g (7.37 oz),,Nano-SIM + Nano-SIM,"6.76 inches, 108.8 cm",1224 x 2776 pixels (~449 ppi density),HarmonyOS 4.2,,,,No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","50 MP, f/1.4-4.0, 23mm (wide), PDAF, OIS,
12 MP, f/2.4, 69mm (telephoto), PDAF, OIS,
8 MP, f/2.2, 16mm, 112˚ (ultrawide), AF","Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K, 1080p, gyro-EIS","8 MP, f/2.2, 52mm (telephoto), AF, 2x optical zoom,
60 MP, f/2.4, 17mm, 100˚ (ultrawide), AF","4K@30fps, 1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, L2HC (320-960 kbps HD audio)","Yes; NFC-SIM, HCE",No,"USB Type-C 2.0, OTG",5000 mAh,"100W wired, 3-50% in 9 min","Black, White, Purple, Green",
Huawei MatePad Pro 13.2 (2025),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,"HSPA, LTE - cellular model only",289.1 x 196.1 x 5.5 mm (11.38 x 7.72 x 0.22 in),580 g (Wi-FI) or 590 g (LTE) (1.28 lb),"Glass front, nylon fiber back, magnesium alloy frame",Nano-SIM (cellular model only),"13.2 inches, 518.8 cm","2880 x 1920 pixels, 3:2 ratio (~262 ppi density)",Harmony OS 4.3,Kirin T92,Octa-core,,No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","50 MP, f/1.8, (wide), PDAF,
8 MP, f/2.2, (ultrawide)",LED flash,"4K@30fps, 1080p@30fps","16 MP, f/2.2",1080p@30fps,"Yes, with stereo speakers (6 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.2, A2DP, LE, L2HC",No,No,"USB Type-C 3.1, OTG, DisplayPort 1.2, accessory connector pins",Li-Po 10100 mAh,100W wired,"Black, White, Gold",About 680 EUR
