Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Lenovo Legion Duel,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42 - International","HSPA 42.2/5.76 Mbps, LTE (4CA) Cat15 800/210 Mbps, 5G 2.5 Gbps DL",169.2 x 78.5 x 9.9 mm (6.66 x 3.09 x 0.39 in),239 g (8.43 oz),"Glass front, glass back, aluminum frame",Nano-SIM + Nano-SIM,"6.65 inches, 108.6 cm","1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)","Android 10, Legion OS/ ZUI12",Qualcomm SM8250 Snapdragon 865 5G+ (7 nm+),Octa-core (1x3.09 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Adreno 650,No,"256GB 12GB RAM, 512GB 16GB RAM","64 MP, f/1.9, 25mm (wide), 1/1.72"", 0.8µm, PDAF,
16 MP, f/2.2, 120˚, 16mm (ultrawide)","Dual-LED flash, panorama, HDR",4K@30fps gyro-EIS,"Motorized pop-up 20 MP, f/2.2, 25mm (wide), 1/3.1"", 0.9µm",4K@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD, aptX Adaptive",Yes,No,"USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), OTG",Li-Po 5000 mAh,"65W wired, (128GB 12GB RAM, 256GB 12GB RAM models)","Vengeance Red, Blazing Blue",About 510 EUR
Lenovo Tab M10 HD Gen 2,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 , HSDPA 800 / 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40","HSPA, LTE - cellular model only",241.5 x 149.4 x 8.3 mm (9.51 x 5.88 x 0.33 in),420 g (14.82 oz),,Nano-SIM (cellular model only),"10.1 inches, 295.8 cm","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android 10,Mediatek MT6762 Helio P22T (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 4GB RAM","8 MP, AF",,1080p@30fps,5 MP,,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, LE",No,FM radio,"USB Type-C 2.0, OTG, magnetic connector",Li-Po 5000 mAh,10W wired,"Iron Gray, Platinum Gray",About 170 EUR
Lenovo Tab P11,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40, 41","HSPA, LTE - cellular model only",258.4 x 163 x 7.5 mm (10.17 x 6.42 x 0.30 in),490 g (1.08 lb),,Nano-SIM (cellular model only),"11.0 inches, 344.4 cm","1200 x 2000 pixels, 5:3 ratio (~212 ppi density)",Android 10,Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","13 MP, (wide), AF",LED flash,1080p@30fps,"8 MP, (wide)",1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.1, A2DP, LE",No,FM radio,USB Type-C 2.0,Li-Po 7700 mAh,20W wired,"Slate Grey, Platinum Grey",About 200 EUR
Lenovo Tab P11 Pro,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41","HSPA, LTE - cellular model only",264.3 x 171.4 x 6.9 mm (10.41 x 6.75 x 0.27 in),485 g (1.07 lb),"Glass front, aluminum frame, aluminum back",Nano-SIM (cellular model only),"11.5 inches, 383.5 cm","1600 x 2560 pixels, 16:10 ratio (~263 ppi density)",Android 10,Qualcomm SDM730 Snapdragon 730G (8 nm),Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,microSDXC,"128GB 4GB RAM, 128GB 6GB RAM","13 MP, (wide), AF,
5 MP, (ultrawide)",,1080p@30fps,"8 MP, (wide),
8 MP, IR TOF 3D, (biometrics sensor only)",,"Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",No,Unspecified,USB Type-C 3.2,Li-Po 8600 mAh,20W wired,"Slate Grey, Platinum Grey",About 550 EUR
Lenovo A8 2020,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE",163.8 x 75.6 x 9.3 mm (6.45 x 2.98 x 0.37 in),205 g (7.23 oz),"Plastic back, plastic frame",Nano-SIM + Nano-SIM + Nano-SIM (max 2 at a time),"6.53 inches, 107.9 cm","720 x 1560 pixels, 19.5:9 ratio (~259 ppi density)",Android 10,Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (dedicated slot),64GB 4GB RAM,"13 MP, (wide), AF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,5 MP,1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 b/g/n, Wi-Fi Direct","5.0, A2DP, LE",No,FM radio,"microUSB 2.0, OTG",Li-Po 5000 mAh,10W wired,"Black, Blue",About 90 EUR
Lenovo K12 (China),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41","HSPA, LTE",165.2 x 75.7 x 9.2 mm (6.50 x 2.98 x 0.36 in),200 g (7.05 oz),,Nano-SIM + Nano-SIM,"6.5 inches, 102.0 cm","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Android 10,Qualcomm SM4250 Snapdragon 460 (11 nm),Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),Adreno 610,microSDXC (uses shared SIM slot),64GB 4GB RAM,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF,
2 MP, (depth)","LED flash, HDR, panorama",1080p@30/60fps,"8 MP, f/2.2, 26mm (wide), 1/4.0"", 1.12µm",1080p@30fps,Yes,Yes,WLANWi-Fi 802.11 b/g/n,"5.0, A2DP, LE",No,FM radio,"microUSB 2.0, OTG",Li-Po 5000 mAh,10W wired,"Navy Blue, Gray",About 100 EUR
Lenovo K12 Pro,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41","HSPA, LTE",172.1 x 76.8 x 9.7 mm (6.78 x 3.02 x 0.38 in),221 g (7.80 oz),,Nano-SIM,"6.8 inches, 109.8 cm",720 x 1640 pixels (~263 ppi density),Android 10,Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30/60fps,"16 MP, f/2.2, 1.0µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,FM radio,"USB Type-C 2.0, OTG",Li-Po 6000 mAh,20W wired,"Electric Violet, Metallic Sage",About 130 EUR
Lenovo Legion Duel 2,,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43","HSPA, LTE (CA), 5G",176 x 78.5 x 9.9 mm (6.93 x 3.09 x 0.39 in),259 g (9.14 oz),"Glass front (Gorilla Glass 5), glass back, aluminum frame",Nano-SIM + Nano-SIM,"6.92 inches, 113.7 cm",1080 x 2460 pixels (~388 ppi density),"Android 11, ZUI 12.5",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,No,"256GB 12GB RAM, 512GB 16GB RAM","64 MP, f/1.9, 25mm (wide), 1/1.32"", 1.0µm, PDAF,
16 MP, f/2.2, 123˚, 16mm (ultrawide), 1.0µm","Dual-LED flash, panorama, HDR","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, gyro-EIS, HDR10+ rec.","Motorized pop-up 44 MP, f/2.0, 24mm (wide), 1/2.65"", 1.0µm, AF","4K@30/60fps, 1080p@30/60/120fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE",Yes,No,"Two USB Type-C (2.0 & 3.1), OTG",Li-Po 5500 mAh,"90W wired (dual USB-C ports), 50% in 12 min, 100% in 30 min","Titanium White, Ultimate Black",About 800 EUR
Lenovo Legion 2 Pro,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 , HSDPA 800 / 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41, 42, 43","HSPA, LTE (CA), 5G",176 x 78.5 x 9.9 mm (6.93 x 3.09 x 0.39 in),259 g (9.14 oz),"Glass front (Gorilla Glass 5), glass back, aluminum frame",Nano-SIM + Nano-SIM,"6.92 inches, 113.7 cm",1080 x 2460 pixels (~388 ppi density),"Android 11, Legion OS",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,No,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 16GB RAM, 512GB 18GB RAM","64 MP, f/1.9, 25mm (wide), 1/1.32"", 1.0µm, PDAF,
16 MP, f/2.2, 123˚, 16mm (ultrawide), 1.0µm","Dual-LED flash, panorama, HDR","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, gyro-EIS, HDR10+ rec.","Motorized pop-up 44 MP, f/2.0, 24mm (wide), 1/2.65"", 1.0µm, AF","4K@30/60fps, 1080p@30/60/120fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE",Yes,No,"Two USB Type-C (2.0 & 3.1), OTG",Li-Po 5500 mAh,"90W wired (dual USB-C ports), 50% in 12 min, 100% in 30 min","Titanium White, Ultimate Black",About 880 EUR
Lenovo Pad,,No cellular connectivity, N/A, N/A, N/A,,258.4 x 163 x 7.5 mm (10.17 x 6.42 x 0.30 in),490 g (1.08 lb),"Glass front, plastic frame, plastic back",No,"11.0 inches, 344.4 cm","1200 x 2000 pixels, 5:3 ratio (~212 ppi density)","Android 11, ZUI 12.5",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","13 MP, AF",LED flash,1080p@30fps,"8 MP,
TOF 3D, (depth/biometrics sensor)",1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",No,No,"USB Type-C 2.0, OTG, magnetic connector",Li-Po 7700 mAh,"20W wired, QC3",Gray,About 140 EUR
