Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Motorola Moto G Stylus 5G (2024),"[{'128GB 8GB RAM': '$\u2009157.99'}, {'256GB 8GB RAM': '$\u2009240.20'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71","HSPA, LTE, 5G",162.6 x 74.8 x 8.3 mm (6.40 x 2.94 x 0.33 in),190 g (6.70 oz),"Glass front, silicone polymer (eco leather) back, plastic frame",Nano-SIM + ,"6.7 inches, 107.3 cm","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 14, up to 1 major Android upgrades",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.57"", 1.0µm, dual-pixel PDAF, OIS,
13 MP, f/2.2, 16mm, 120˚ (ultrawide), 1/3.0"", 1.12µm, AF","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps","32 MP, f/2.4, 25mm (wide), 1/3.14"", 0.7µm","4K@30fps, 1080p@30/60fps","Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE",Yes,FM radio (market/region dependent),USB Type-C 2.0,5000 mAh,30W wired,"Caramel Latte, Scarlet Wave",
Motorola Moto X50 Ultra,,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE (CA), 5G",161.1 x 72.4 x 8.6 mm (6.34 x 2.85 x 0.34 in),197 g (6.95 oz),"Glass front (Gorilla Glass Victus), wooden back or silicone polymer back (eco leather), aluminum frame",Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","1220 x 2712 pixels, 20:9 ratio (~444 ppi density)",Android 14,Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","50 MP, f/1.6, (wide), 1/1.3"", 1.2µm, multi-directional PDAF, OIS,
64 MP, f/2.4, 72mm (periscope telephoto), 0.7µm, PDAF, OIS, 3x optical zoom,
50 MP, f/2.0, 12mm, 122˚ (ultrawide), 0.64µm, AF","Laser AF, Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240/960fps, 10-bit HDR10+, gyro-EIS","50 MP, f/1.9, (wide), 0.64µm, AF","4K@30/60fps, 1080p@30/60/120fps, HDR","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE",Yes,No,"USB Type-C 3.1 Gen2, OTG, DisplayPort 1.4",4500 mAh,125W wired,"Forest Grey, Nordic Wood, Peach Fuzz",About 510 EUR
Motorola Edge (2024),[{'256GB 8GB RAM': '$\u2009195.67'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 29, 30, 38, 39, 40, 41, 48, 66, 71","HSPA, LTE (CA), 5G",159.6 x 72 x 8.1 mm (6.28 x 2.83 x 0.32 in),174 g (6.14 oz),"Glass front, aluminum frame, silicone polymer back (eco leather)",Nano-SIM + ,"6.6 inches, 103.6 cm","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",Android 14,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,No,256GB 8GB RAM,"50 MP, f/1.8, (wide), 1/1.5"", 1.0µm, multi-directional PDAF, OIS,
13 MP, f/2.2, 120˚ (ultrawide), 1.12µm, AF","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, HDR, gyro-EIS","32 MP, f/2.4, (wide), 0.7µm, AF",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.2, A2DP, LE",Yes,No,"USB Type-C 3.1, DisplayPort 1.4",5000 mAh,68W wired,Black,
Motorola Moto E14,[{'64GB 2GB RAM': '£\u200948.69'}],GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",163.5 x 74.5 x 8 mm (6.44 x 2.93 x 0.31 in),178.8 g (6.31 oz),"Glass front (Gorilla Glass 3), plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.56 inches, 103.4 cm","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",Android 14 (Go edition),Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC,"64GB 2GB RAM, 64GB 4GB RAM","13 MP, f/2.2, (wide), 1.12µm, PDAF","LED flash, HDR",1080p@30fps,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",No,Unspecified,USB Type-C 2.0,5000 mAh,15W wired,"Pastel Green, Graphite Gray, Pastel Purple",
Motorola S50 Neo,,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 , LTE,"HSPA, LTE, 5G",161.9 x 73.1 x 7.6 mm (6.37 x 2.88 x 0.30 in),171 g or 173 g (6.03 oz),"Glass front, plastic frame, plastic back or silicone polymer (eco leather) back",Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",Android 14,Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8 (wide), 1/1.95"", 0.8µm, PDAF, OIS,
8 MP, f/2.2, 118˚ (ultrawide)","LED flash, HDR, panorama",1080p@30/60fps,"32 MP, f/2.5, (wide)",1080p@30fps,Yes,No,WLANYes,Yes,Yes,No,USB Type-C,5000 mAh,30W wired,"Olivine, Surf, Gray",
Motorola Moto G85,"[{'256GB 8GB RAM': '$\u2009179.99'}, {'256GB 12GB RAM': '€\u2009233.67'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 5, 7, 8, 18, 19, 20, 26, 28, 32, 38, 40, 41, 42","HSPA, LTE, 5G",161.9 x 73.1 x 7.6 mm (6.37 x 2.88 x 0.30 in),171 g or 173 g (6.03 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back or silicone polymer (eco leather) back",Nano-SIM + ,"6.67 inches, 107.4 cm","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Android 14,Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm),Octa-core (2x2.3 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Adreno 619,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM","50 MP, f/1.8 (wide), 1/1.95"", 0.8µm, PDAF, OIS,
8 MP, f/2.2, 118˚ (ultrawide), 1.12µm, AF","LED flash, HDR, panorama",1080p@30/60fps,"32 MP, f/2.4, (wide), 0.7µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE",Yes (market/region dependent),Unspecified,USB Type-C 2.0,5000 mAh,30W wired - International,"Olive Green, Cobalt Blue, Urban Grey, Magenta",
Motorola Razr 50,[{'256GB 8GB RAM': '£\u2009487.99'}],GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 43, 66, 71","HSPA, LTE (CA), 5G",Unfolded: 171.3 x 74 x 7.3 mm Folded: 88.1 x 74 x 15.9 mm,188.4 g (6.63 oz),"Plastic front (unfolded), glass front (folded, Gorilla Glass Victus), silicone polymer back (eco leather), aluminum frame (6000 series), hinge (stainless steel)",Nano-SIM + ,"6.9 inches, 107.6 cm",1080 x 2640 pixels (~413 ppi density),Android 14,Mediatek Dimensity 7300X (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"256GB 8GB RAM, 512GB 12GB RAM","50 MP, f/1.7, 25mm (wide), 1/1.95"", 0.8µm, dual pixel PDAF, OIS,
13 MP, f/2.2, 120˚ (ultrawide), 1/3.0"", 1.12µm, AF","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.4, 25mm (wide), 1/3.14"", 0.7µm","4K@30fps, 1080p@30/60fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band (region dependent)","5.4, A2DP, LE",Yes,No,USB Type-C 2.0,4200 mAh,30W wired,"Koala Grey (Steel Wool), Beach Sand (Pumice Stone), Spritz Orange (Arabesque)",
Motorola razr 2024,[{'256GB 8GB RAM': '$\u2009338.18'}],GSM / HSPA / LTE / 5G,GSM 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, , 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71","HSPA, LTE (CA), 5G",Unfolded: 171.3 x 74 x 7.3 mm Folded: 88.1 x 74 x 15.9 mm,188.4 g (6.63 oz),"Plastic front (unfolded), glass front (folded, Gorilla Glass Victus), silicone polymer back (eco leather), aluminum frame (6000 series), hinge (stainless steel)",Nano-SIM + ,"6.9 inches, 107.6 cm",1080 x 2640 pixels (~413 ppi density),Android 14,Mediatek Dimensity 7300X (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,256GB 8GB RAM,"50 MP, f/1.7, 25mm (wide), 1/1.95"", 0.8µm, dual pixel PDAF, OIS,
13 MP, f/2.2, 120˚ (ultrawide), 1/3.0"", 1.12µm, AF","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.4, 25mm (wide), 1/3.14"", 0.7µm","4K@30fps, 1080p@30/60fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band (region dependent)","5.4, A2DP, LE",Yes,No,USB Type-C 2.0,4200 mAh,30W wired,"Koala Grey, Beach Sand, Spritz Orange",
Motorola Razr 50 Ultra,[{'512GB 12GB RAM': '£\u2009692.99'}],GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 43, 48, 66, 71","HSPA, LTE (CA), 5G",Unfolded: 171.4 x 74 x 7.1 mm,189 g (6.67 oz),"Plastic front (unfolded), glass front (folded, Gorilla Glass Victus), silicone polymer back (eco leather), aluminum frame (6000 series), hinge (stainless steel)",Nano-SIM + ,"6.9 inches, 107.6 cm",1080 x 2640 pixels (~413 ppi density),"Android 14, up to 3 major Android upgrades",Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.7, 24mm (wide), 1/1.95"", 0.8µm, dual pixel PDAF, OIS,
50 MP, f/2.0, 47mm (telephoto), 1/2.76"", 0.64µm, PDAF, 2x optical zoom","LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60/120/240/960fps, HDR10+, gyro-EIS","32 MP, f/2.4, 25mm (wide), 1/3.14"", 0.7µm","4K@30/60fps, 1080p@30/60fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band or tri-band (region dependent)","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",Yes,No,"USB Type-C 2.0, OTG",4000 mAh,45W wired,"Spring Green (Dill), Midnight Blue (Navy Blazer), Peach Fuzz, Mocha Mousse",
Motorola razr+ 2024,[{'256GB 12GB RAM': '$\u2009434.00'}],GSM / HSPA / LTE / 5G,GSM 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 48, 66, 71","HSPA, LTE (CA), 5G",Unfolded: 171.4 x 74 x 7.1 mm,189 g (6.67 oz),"Plastic front (unfolded), glass front (folded, Gorilla Glass Victus), silicone polymer back (eco leather), aluminum frame (6000 series), hinge (stainless steel)",Nano-SIM + ,"6.9 inches, 107.6 cm",1080 x 2640 pixels (~413 ppi density),Android 14,Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,No,256GB 12GB RAM,"50 MP, f/1.7, 24mm (wide), 1/1.95"", 0.8µm, dual pixel PDAF, OIS,
50 MP, f/2.0, 47mm (telephoto), 1/2.76"", 0.64µm, PDAF, 2x optical zoom","LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60/120/240/960fps, HDR10+, gyro-EIS","32 MP, f/2.4, 25mm (wide), 1/3.14"", 0.7µm","4K@30/60fps, 1080p@30/60fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band or tri-band (region dependent)","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",Yes,No,"USB Type-C 2.0, OTG",4000 mAh,45W wired,"Midnight Blue, Hot Pink, Spring Green, Peach Fuzz, Paris Hilton Edition",
Motorola Edge 50,"[{'512GB 12GB RAM': 'C$\u20091,022.89'}, {'256GB 8GB RAM': '₹\u200922,875'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 43, 48, 66","HSPA, LTE, 5G",160.8 x 72.4 x 7.8 mm (6.33 x 2.85 x 0.31 in),180 g (6.35 oz),"Glass front, aluminum frame, silicone polymer (eco leather or eco suede) back",Nano-SIM,"6.7 inches, 107.4 cm","1220 x 2712 pixels, 20:9 ratio (~446 ppi density)","Android 14, up to 5 major Android upgrades",Qualcomm SM7450-AB Snapdragon 7 Gen 1 AE (4 nm),Octa-core (1x2.5 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS,
10 MP, f2.0, 73mm (telephoto), 1/3.94"", 1.0µm, PDAF, 3x optical zoom, OIS,
13 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/3.0"", 1.12µm, PDAF","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120/240fps","32 MP, f/2.4, (wide), 1/3.14"", 0.7µm","4K@30fps, 1080p@30/120fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.2, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",5000 mAh,68W wired,"Koala Gray, Jungle Green, Peach Fuzz",
Motorola Moto G45,"[{'128GB 4GB RAM': '₹\u200910,890'}, {'128GB 8GB RAM': '₹\u200911,644'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 , HSDPA 800 / 850 / 900 / 1900 / 2100 ,"1, 2, 3, 5, 7, 8, 18, 19, 20, 26, 28, 32, 38, 40, 41, 42","HSPA, LTE, 5G",162.7 x 74.6 x 8 mm (6.41 x 2.94 x 0.31 in),183 g (6.46 oz),"Glass front (Gorilla Glass 3), plastic frame, silicone polymer (eco leather) back",Nano-SIM + Nano-SIM,"6.5 inches, 102.0 cm","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Android 14,Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm),Octa-core (2x2.3 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Adreno 619,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 8GB RAM","50 MP, f/1.8 (wide), 1/2.76"", 0.64µm, PDAF,
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","16 MP, f/2.4, (wide), 1.0µm",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE",Yes,FM radio,USB Type-C 2.0,5000 mAh,"18W wired, PD, QC","Brilliant Blue, Brilliant Green, Viva Magenta",
