Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Nokia 105 4G (2023),,GSM / HSPA / LTE,GSM 900 / 1800 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE",121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),93 g (3.28 oz),,Nano-SIM,"1.8 inches, 10.0 cm","120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,,,microSDHC,Unspecified,No,,,,,Yes,Yes,WLANNo,"5.0, A2DP",No,Wireless FM radio,microUSB 2.0,"Li-Ion 1450 mAh, removable",,"Charcoal, Ocean Blue",About 40 EUR
Nokia 106 (2023),,GSM,GSM 900 / 1800 ,,,,115.1 x 49.4 x 14.5 mm (4.53 x 1.94 x 0.57 in),79.4 g (2.79 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)","1.8 inches, 10.0 cm","120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,,,microSDHC,Unspecified,No,,,,,Yes,Yes,WLANNo,No,No,Wireless FM radio,microUSB 1.1,Li-Ion 1000 mAh,,"Red Terracotta, Emerald Green, Charcoal",About 80 EUR
Nokia 106 4G (2023),,GSM / HSPA / LTE,GSM 900 / 1800 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8","HSPA, LTE",121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),93 g (3.28 oz),,Nano-SIM,"1.8 inches, 10.0 cm","120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,,,microSDHC,Unspecified storage,No,,,,,Yes,Yes,WLANNo,"5.0, A2DP",No,Wireless FM radio,microUSB 2.0,"Li-Ion 1450 mAh, removable",,"Charcoal, Ocean Blue",About 30 EUR
Nokia 110 (2023),,GSM,GSM 900 / 1800 ,,,,115.1 x 49.4 x 14.5 mm (4.53 x 1.94 x 0.57 in),79.6 g (2.82 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)","1.8 inches, 10.0 cm","120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,,,microSDHC,Unspecified,QVGA,,,No,,Yes,No,WLANNo,No,No,Wireless FM radio,microUSB 1.1,Li-Ion 1000 mAh,,"Charcoal, Cloudy Blue",About 50 EUR
Nokia 110 4G (2023),,GSM / HSPA / LTE,GSM 900 / 1800 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE",121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),94.5 g (3.35 oz),,Nano-SIM,"1.8 inches, 10.0 cm","120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,,,microSDHC,Unspecified,QVGA,,,No,,Yes,Yes,WLANNo,"5.0, A2DP",No,Wireless FM radio,microUSB 2.0,Li-Ion 1450 mAh,,"Midnight Blue, Arctic Purple",About 40 EUR
Nokia C110,,GSM / HSPA / LTE,GSM 850 / 1900 ,HSDPA 850 / 1700 / 1900 ,"2, 4, 5, 12, 13, 41, 66, 71","HSPA, LTE",160.8 x 74 x 8.5 mm (6.33 x 2.91 x 0.33 in),172 g (6.07 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.3 inches, 97.4 cm","720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)",Android 12,Mediatek MT6762 Helio P22 (12 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, (wide), AF","LED flash, HDR",1080p@30fps,5 MP,Yes,Yes,Yes,"WLANWi-Fi 802.11 b/g/n/ac, dual-band, hotspot","5.0, A2DP",No,FM radio,USB Type-C 2.0,Li-Po 3000 mAh,5W wired,Gray,About 100 EUR
Nokia C300,[{'32GB 3GB RAM': '$\u200964.95'}],GSM / HSPA / LTE,GSM 850 / 1900 ,HSDPA 850 / 1700 / 1900 , LTE,"HSPA, LTE",166.7 x 76.6 x 8.6 mm (6.56 x 3.02 x 0.34 in),190 g (6.70 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.52 inches, 102.6 cm","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Android 12,Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, (wide), AF,
2 MP, (macro),
2 MP, (depth)","LED flash, HDR, portrait, night",1080p@30fps,8 MP,Yes,Yes,Yes,"WLANWi-Fi 802.11 b/g/n/ac, dual-band, hotspot","5.0, A2DP",No,FM radio,USB Type-C 2.0,Li-Po 4000 mAh,10W wired,Blue,
Nokia G42,"[{'128GB 6GB RAM': '$\u2009264.74'}, {'256GB 8GB RAM': '$\u2009659.00'}, {'128GB 4GB RAM': '₹\u200915,499'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 13, 20, 28, 38, 39, 40, 41, 66","HSPA, LTE, 5G",165 x 75.8 x 8.6 mm (6.50 x 2.98 x 0.34 in),193.8 g (6.84 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.56 inches, 103.4 cm","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 13, upgradable to Android 14",Qualcomm SM4350-AC Snapdragon 480+ 5G (8 nm),Octa-core (2x2.2 GHz Kryo 460 & 6x1.8 GHz Kryo 460),Adreno 619,microSDXC,"128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), AF,
2 MP, (macro),
2 MP, (depth)","LED flash, HDR, panorama",1080p@30fps,8 MP,Yes,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.1, A2DP, LE",Yes (market/region dependent),FM radio,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,"20W wired, PD3.0, QC3","Gray, Purple, Red",
Nokia 130 (2023),,GSM,GSM 900 / 1800 ,,,,130.9 x 50.6 x 14 mm (5.15 x 1.99 x 0.55 in),98.2 g (3.46 oz),,"Dual SIM (Mini-SIM, dual stand-by)","2.4 inches, 17.8 cm","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,microSDHC,4MB,No,,,,,Yes,Yes,WLANNo,No,No,FM radio; built-in antenna,microUSB 1.1,"Li-Ion 1450 mAh, removable",,"Dark Blue, Purple, Light Gold",About 20 EUR
Nokia 150 (2023),[{'4MB': '$\u2009155.00'}],GSM,GSM 900 / 1800 ,,,,131 x 50.6 x 15.2 mm (5.16 x 1.99 x 0.60 in),106.3 g (3.63 oz),,"Dual SIM (Mini-SIM, dual stand-by)","2.4 inches, 17.8 cm","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,microSDHC,4MB,VGA,LED flash,,No,,Yes,Yes,WLANNo,No,No,FM radio; built-in antenna,microUSB 1.1,"Li-Ion 1450 mAh, removable",,"Black, Cyan, Red",
Nokia G310,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE, 5G",165.1 x 75.7 x 8.6 mm (6.5 x 2.98 x 0.34 in),195.1 g (6.88 oz),,Nano-SIM,"6.56 inches, 103.4 cm","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",Android 13,Qualcomm SM4350-AC Snapdragon 480+ 5G (8 nm),Octa-core (2x2.2 GHz Kryo 460 & 6x1.8 GHz Kryo 460),Adreno 619,microSDXC (dedicated slot),128GB 4GB RAM,"50 MP, (wide), AF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30/60fps,"8 MP, (wide)",1080p@30fps,Yes,Yes,WLANWi-Fi 802.11 b/g/n/ac,"5.1, A2DP, LE",No,No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,"20W wired, PD, QC",Blue,About 170 EUR
Nokia C210,[{'32GB 3GB RAM': '$\u2009109.99'}],GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 , LTE,"HSPA, LTE",159.5 x 73.9 x 8.6 mm (6.28 x 2.91 x 0.34 in),167.8 g (5.93 oz),,Nano-SIM,"6.3 inches, 97.4 cm","720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)",Android 13,Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, (wide), AF,
2 MP, f/2.4, (depth)",LED flash,1080p@30fps,5 MP,Yes,Yes,Yes,WLANWi-Fi 802.11 b/g/n/ac,"5.0, A2DP, LE",No,Unspecified,"USB Type-C 2.0, OTG",Li-Ion 3000 mAh,,Gray,
