Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors
Samsung Galaxy A36,"[{'256GB 8GB RAM': '$\u2009369.99'}, {'128GB 8GB RAM': 'C$\u2009553.56'}, {'256GB 12GB RAM': '₹\u200935,499'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE, 5G",162.9 x 78.2 x 7.4 mm (6.41 x 3.08 x 0.29 in),195 g (6.88 oz),"Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",Nano-SIM + Nano-SIM + ,"6.7 inches, 110.2 cm","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Android 15, up to 6 major Android upgrades, One UI 7",Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS,
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm,
5 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","12 MP, f/2.2, (wide)","4K@30fps, 1080p@30fps, 10-bit HDR","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.4, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",5000 mAh,"45W wired, 66% in 30 min, 100% in 68 min","Lavender, Black, White, Lime"
Samsung Galaxy A56,"[{'128GB 8GB RAM': '$\u2009415.00'}, {'256GB 12GB RAM': '$\u2009459.97'}, {'256GB 8GB RAM': '£\u2009499.00'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE, 5G",162.2 x 77.5 x 7.4 mm (6.39 x 3.05 x 0.29 in),198 g (6.98 oz),"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass Victus+), aluminum frame",Nano-SIM + Nano-SIM + ,"6.7 inches, 110.2 cm","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Android 15, up to 6 major Android upgrades, One UI 7",Exynos 1580 (4 nm),Octa-core (1x2.9 GHz Cortex-A720 & 3x2.6 GHz Cortex-A720 & 4x1.9 GHz Cortex-A520),Xclipse 540,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS,
12 MP, f/2.2, 123˚ (ultrawide), 1/3.06"", 1.12µm,
5 MP, f/2.4, (macro)","Best Face, LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","12 MP, f/2.2, (wide)","4K@30fps, 1080p@30/60fps, 10-bit HDR","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",5000 mAh,"45W wired, 65% in 30 min, 100% in 68 min","Pink, Olive, Graphite, Lightgray"
Samsung Galaxy F16,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),191 g (6.74 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.7 inches, 110.2 cm","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Android 15, up to 6 major Android upgrades, One UI 7",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF,
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","1080p@30fps, gyro-EIS","13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",1080p@30fps,Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,No,USB Type-C 2.0,5000 mAh,25W wired,"Bling Black, Vibing Blue, Glam Green"
Samsung Galaxy Tab S10 FE,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE (CA), 5G - cellular model only",254.3 x 165.8 x 6 mm (10.01 x 6.53 x 0.24 in),497 g or 500 g (1.10 lb),"Glass front, aluminum back, aluminum frame",Nano-SIM + ,"10.9 inches, 344.5 cm","1440 x 2304 pixels, 16:10 ratio (~249 ppi density)","Android 15, One UI 7",Exynos 1580 (4 nm),Octa-core (1x2.9 GHz Cortex-A720 & 3x2.6 GHz Cortex-A720 & 4x1.9 GHz Cortex-A520),Xclipse 540,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 12GB RAM","13 MP, f/2.0, (wide)",Best Face,"4K@30fps, 1080p@30fps","12 MP, f/2.4, (ultrawide)","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,No,"USB Type-C 2.0, magnetic connector",Li-Po 8000 mAh,"45W wired, QC2.0","Silver, Gray, Blue"
Samsung Galaxy Tab S10 FE+,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA, LTE (CA), 5G - cellular model only",300.6 x 194.7 x 6 mm (11.83 x 7.67 x 0.24 in),664 g or 668 g (1.46 lb),"Glass front, aluminum back, aluminum frame",Nano-SIM + ,"13.1 inches, 497.6 cm","1800 x 2880 pixels, 16:10 ratio (~259 ppi density)","Android 15, One UI 7",Exynos 1580 (4 nm),Octa-core (1x2.9 GHz Cortex-A720 & 3x2.6 GHz Cortex-A720 & 4x1.9 GHz Cortex-A520),Xclipse 540,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 12GB RAM","13 MP, f/2.0, (wide)",Best Face,"4K@30fps, 1080p@30fps","12 MP, f/2.4, (ultrawide)","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,No,"USB Type-C 2.0, magnetic connector",Li-Po 10090 mAh,"45W wired, QC2.0","Silver, Gray, Blue"
Samsung Galaxy S23 FE,"[{'128GB 8GB RAM': '$\u2009259.00'}, {'256GB 8GB RAM': '$\u2009439.99'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66 - International","HSPA, LTE (CA), 5G",158 x 76.5 x 8.2 mm (6.22 x 3.01 x 0.32 in),209 g (7.37 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM,"6.4 inches, 100.5 cm","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 13, up to 4 major Android upgrades, One UI 6.1",Exynos 2200 (4 nm) - International,Octa-core (1x2.8 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510) - International,Xclipse 920 - International,No,"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 23mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS,
8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom,
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps","10 MP, f/2.4, 25mm (wide), 1/3.0"", 1.22µm","4K@30/60fps, 1080p@30/60fps; gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,Unspecified,"USB Type-C, OTG",Li-Ion 4500 mAh,"25W wired, PD3.0, 50% in 30 min","Mint, Cream, Graphite, Purple, Indigo, Tangerine"
Samsung Galaxy Tab A9,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 66","HSPA, LTE - cellular model only",211 x 124.7 x 8 mm (8.31 x 4.91 x 0.31 in),332 g or 333 g (11.71 oz),,Nano-SIM + ,"8.7 inches, 214.9 cm","800 x 1340 pixels, 5:3 ratio (~179 ppi density)","Android 13, upgradable to Android 14, One UI 6.1",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM","8 MP, AF",,1080p@30fps,2 MP,Yes,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",No,No,USB Type-C 2.0,Li-Po 5100 mAh,15W wired,"Graphite, Silver, Navy"
Samsung Galaxy Tab A9+,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G - cellular model only",257.1 x 168.7 x 6.9 mm (10.12 x 6.64 x 0.27 in),480 g or 492 g (1.06 lb),,Nano-SIM + ,"11.0 inches, 350.9 cm","1200 x 1920 pixels, 16:10 ratio (~206 ppi density)","Android 13, upgradable to Android 14, One UI 6.1",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),Adreno 619,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","8 MP, AF",,1080p@30fps,5 MP,1080p@30fps,"Yes, with stereo speakers (4 speakers)",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE",No,No,USB Type-C 2.0,Li-Po 7040 mAh,15W wired,"Graphite, Silver, Navy"
Samsung Galaxy A15,"[{'128GB 4GB RAM': '$\u2009145.00'}, {'128GB 6GB RAM': '$\u2009139.99'}, {'256GB 8GB RAM': '€\u2009212.63'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",160.1 x 76.8 x 8.4 mm (6.30 x 3.02 x 0.33 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.5 inches, 103.7 cm","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Android 14, up to 4 major Android upgrades, One UI 6.1",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 26mm (wide), 1/2.8"", 0.64µm, PDAF,
5 MP, f/2.2, 17mm (ultrawide), 1/5.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, 26mm (wide), 1/3.06"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),FM radio (market/region dependent),USB Type-C 2.0,5000 mAh,25W wired,"Brave Black, Optimistic Blue, Magical Blue, Personality Yellow"
