Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors
Samsung Galaxy F23,"[{'128GB 4GB RAM': '₹\u200914,990'}, {'128GB 6GB RAM': '₹\u200912,995'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",165.5 x 77 x 8.4 mm (6.52 x 3.03 x 0.33 in),198 g (6.98 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.6 inches, 104.9 cm","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)","Android 12, upgradable to Android 14, One UI 6",Qualcomm SM7225 Snapdragon 750G 5G (8 nm),Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),Adreno 619,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), PDAF,
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, 720p@480fps","8 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,"FM radio, recording","USB Type-C 2.0, OTG",Li-Po 5000 mAh,25W wired,"Aqua Blue, Forest Green"
Samsung Galaxy A33 5G,"[{'128GB 6GB RAM': '£\u2009144.99'}, {'128GB 8GB RAM': '₹\u200925,849'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE, 5G",159.7 x 74 x 8.1 mm (6.29 x 2.91 x 0.32 in),186 g (6.56 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back",Nano-SIM,"6.4 inches, 98.9 cm","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)","Android 12, up to 4 major Android upgrades, One UI 6.1",Exynos 1280 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS,
8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm,
5 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps","13 MP, f/2.2, (wide), 1/3.1"", 1.12µm","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,25W wired,"Black, White, Blue, Peach"
Samsung Galaxy A53 5G,"[{'128GB 4GB RAM': '$\u2009499.99'}, {'128GB 6GB RAM': '$\u2009140.78'}, {'128GB 8GB RAM': '$\u2009199.99'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 12, 14, 20, 29, 30, 38, 39, 40, 41, 46, 48, 66 - SM-A536U","HSPA, LTE, 5G",159.6 x 74.8 x 8.1 mm (6.28 x 2.94 x 0.32 in),189 g (6.67 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back",Nano-SIM,"6.5 inches, 102.0 cm","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Android 12, up to 4 major Android upgrades, One UI 6",Exynos 1280 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.7X"", 0.8µm, PDAF, OIS,
12 MP, f/2.2, 123˚ (ultrawide), 1.12µm,
5 MP, f/2.4, (macro),
5 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps; gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,25W wired,"Black, White, Blue, Peach"
Samsung Galaxy A73 5G,[{'128GB 8GB RAM': '$\u2009599.00'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE, 5G",163.7 x 76.1 x 7.6 mm (6.44 x 3.00 x 0.30 in),181 g (6.38 oz),,Nano-SIM,"6.7 inches, 108.4 cm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 12, up to 4 major Android upgrades, One UI 6.1",Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","108 MP, f/1.8, (wide), PDAF, OIS,
12 MP, f/2.2, (ultrawide),
5 MP, f/2.4, (macro),
5 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps; gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes (market/region dependent),Unspecified,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,25W wired,"Gray, Mint, White"
Samsung Galaxy S20 FE 2022,,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 , LTE,"HSPA 42.2/5.76 Mbps, LTE (5CA) Cat19 1800/200 Mbps, 5G",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),190 g (6.70 oz),"Glass front (Gorilla Glass 3), plastic back, aluminum frame",Nano-SIM + Nano-SIM,"6.5 inches, 102.0 cm","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Android 12, One UI 4.1",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Adreno 650,microSDXC (uses shared SIM slot),128GB 6GB RAM,"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, dual pixel PDAF, OIS,
8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom,
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","LED flash, auto-HDR, panorama","4K@30/60fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm","4K@30/60fps, 1080p@30/60fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,No,"USB Type-C 3.2, OTG",Li-Ion 4500 mAh,"25W wired, PD3.0","Cloud White, Cloud Lavender, Cloud Navy"
Samsung Galaxy M53,"[{'128GB 8GB RAM': '£\u2009283.16'}, {'128GB 6GB RAM': '€\u2009129.13'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",164.7 x 77 x 7.4 mm (6.48 x 3.03 x 0.29 in),176 g (6.21 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.7 inches, 108.1 cm","1080 x 2408 pixels, 20:9 ratio (~394 ppi density)","Android 12, upgradable to Android 13, One UI 5.1",Mediatek Dimensity 900 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","108 MP, f/1.8, (wide), PDAF,
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (depth),
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps","32 MP, f/2.2, 26mm (wide)","4K@30fps, 1080p@30fps",Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Ion 5000 mAh,25W wired,"Green, Blue, Brown"
Samsung Galaxy Tab S6 Lite (2022),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1800 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 66","HSPA, LTE - cellular model only",244.5 x 154.3 x 7 mm (9.63 x 6.07 x 0.28 in),465/467 g (1.03 lb),"Glass front, aluminum back, aluminum frame",Nano-SIM (cellular model only),"10.4 inches, 307.9 cm","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Android 12, upgradable to Android 14, One UI 6",Qualcomm SM7150 Snapdragon 732G (8 nm),Octa-core (2x2.3 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","8 MP, (wide), 1/4.0"", 1.12µm","HDR, panorama",1080p@30fps,"5 MP, (wide), 1/5.0"", 1.12µm",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE",No,No,USB Type-C,Li-Po 7040 mAh,15W wired,"Chiffon Pink, Angora Blue, Oxford Gray"
Samsung Galaxy M13,"[{'64GB 4GB RAM': '£\u2009131.84'}, {'128GB 4GB RAM': '£\u2009134.50'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",165.4 x 76.9 x 8.4 mm (6.51 x 3.03 x 0.33 in),192 g (6.77 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.6 inches, 104.9 cm","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)","Android 12, One UI Core 4.1",Exynos 850 (8 nm),Octa-core (4x2.0 GHz Cortex-A55 & 4x2.0 GHz Cortex-A55),Mali-G52,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.8, (wide), PDAF,
5 MP, f/2.2, 123˚ (ultrawide),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",Yes (market/region dependent),No,USB Type-C 2.0,Li-Po 5000 mAh,15W wired,"Deep Green, Orange Copper, Light Blue"
Samsung Galaxy F13,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",165.4 x 76.9 x 9.3 mm (6.51 x 3.03 x 0.37 in),207 g (7.30 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.6 inches, 104.9 cm","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)","Android 12, upgradable to Android 13, One UI Core 5",Exynos 850 (8 nm),Octa-core (4x2.0 GHz Cortex-A55 & 4x2.0 GHz Cortex-A55),Mali-G52,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), PDAF,
5 MP, f/2.2, 123˚ (ultrawide),
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",Yes,FM radio,"USB Type-C 2.0, OTG",Li-Po 6000 mAh,15W wired,"Waterfall Blue, Sunrise Copper, Nightsky Green"
Samsung Galaxy XCover6 Pro,[{'128GB 6GB RAM': '$\u2009244.28'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 39, 40, 41, 66 - International","HSPA, LTE, 5G",168.8 x 79.9 x 9.9 mm (6.65 x 3.15 x 0.39 in),235 g (8.29 oz),,Nano-SIM,"6.6 inches, 104.9 cm","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)","Android 12, upgradable to Android 14, One UI 6",Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,microSDXC (dedicated slot),128GB 6GB RAM,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF,
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30fps","13 MP, f/2.2, (wide), 1/3.1"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac/mc/6e, tri-band, Wi-Fi Direct","5.2, A2DP, LE",Yes,No,"USB Type-C 3.2, charging connector pins","Li-Po 4050 mAh, removable",25W wired (USA),Black
