Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Sony Xperia XA2 Plus,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 5, 7, 8, 20, 38 - H3413, H4413","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat12 600/150 Mbps",157 x 75 x 9.6 mm (6.18 x 2.95 x 0.38 in),205 g (7.23 oz),"Glass front (Gorilla Glass 5), plastic back, aluminum frame",Nano-SIM,"6.0 inches, 92.9 cm","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Android 8.0 (Oreo),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,microSDXC (uses shared SIM slot),"32GB 4GB RAM, 64GB 6GB RAM","23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF","LED flash, HDR, panorama","4K@30fps, 1080p@30fps, stereo sound rec., HDR","8 MP, f/2.4, 1/4.0""",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n, Wi-Fi Direct","5.0, A2DP, aptX HD, LE",Yes,FM radio,"USB Type-C 2.0, OTG","Li-Ion 3580 mAh, non-removable","18W wired, QC3","Silver, Black, Gold, Green",About 240 EUR
Sony Xperia L3,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,"HSDPA 850 / 900 / 1900 / 2100 - I3312, I4312, I4332","1, 2, 3, 5, 7, 8, 20, 38 - I3312, I4312","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",154 x 72 x 8.9 mm (6.06 x 2.83 x 0.35 in),156 g (5.50 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame",Nano-SIM,"5.7 inches, 83.8 cm","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 8.0 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, f/2.2, 26mm (wide), 1/3.0"", PDAF,
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,FM radio,USB Type-C 2.0,"Li-Ion 3300 mAh, non-removable",USB Power Delivery,"Black, Gold, Silver",About 230 EUR
Sony Xperia 10,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,"HSDPA 850 / 900 / 1900 / 2100 - I3113, I4113, I4193","1, 2, 3, 5, 7, 8, 20, 28, 32, 38 - I3113, I4113","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat12 600/50 Mbps",156 x 68 x 8.4 mm (6.14 x 2.68 x 0.33 in),162 g (5.71 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame",Nano-SIM,"6.0 inches, 84.1 cm","1080 x 2520 pixels, 21:9 ratio (~457 ppi density)",Android 9.0 (Pie),Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,microSDXC (uses shared SIM slot),"64GB 3GB RAM, 64GB 4GB RAM","13 MP, f/2.0, 27mm (wide), 1/3.1"", 1.12µm, PDAF,
5 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD",Yes,FM radio,"USB Type-C 2.0, OTG","Li-Ion 2870 mAh, non-removable","18W wired, PD, QC3","Black, Navy, Silver, Pink",About 280 EUR
Sony Xperia 10 Plus,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,"HSDPA 850 / 900 / 1900 / 2100 - I3213, I4213, I4293","1, 2, 3, 5, 7, 8, 20, 28, 32, 38 - I3213, I4213","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat12 600/50 Mbps",167 x 73 x 8.3 mm (6.57 x 2.87 x 0.33 in),180 g (6.35 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame",Nano-SIM,"6.5 inches, 98.7 cm","1080 x 2520 pixels, 21:9 ratio (~422 ppi density)",Android 9.0 (Pie),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 64GB 6GB RAM","12 MP, f/1.8, 27mm (wide), 1/2.8"", 1.25µm, PDAF,
8 MP, f/2.4, 53mm (telephoto), 1/4.0"", 1.12µm, PDAF, 2x optical zoom","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD",Yes,FM radio,"USB Type-C 2.0, OTG","Li-Ion 3000 mAh, non-removable","18W wired, PD, QC3","Black, Navy, Silver, Gold",About 560 EUR
Sony Xperia 1,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29, 32, 38, 39, 40, 41, 46, 66","HSPA 42.2/5.76 Mbps, LTE Cat19 1600/150 Mbps",167 x 72 x 8.2 mm (6.57 x 2.83 x 0.32 in),178 g (6.28 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM,"6.5 inches, 98.6 cm","1644 x 3840 pixels, 21:9 ratio (~643 ppi density)","Android 9.0 (Pie), upgradable to Android 11",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC (uses shared SIM slot) - dual SIM model only,"64GB 6GB RAM, 128GB 6GB RAM","12 MP, f/1.6, 26mm (wide), 1/2.55"", 1.4µm, predictive dual pixel PDAF, 5-axis OIS,
12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, predictive PDAF, 2x optical zoom, 5-axis OIS,
12 MP, f/2.4, 16mm (ultrawide), 1/3.4"", 1.0µm","Color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/25/30fps HDR, 1080p@60fps, 1080p@30fps (5-axis gyro-EIS), 1080p@960fps","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",1080p@30fps (5-axis gyro-EIS),"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, aptX HD, LE",Yes,No,"USB Type-C 3.1, OTG","Li-Ion 3330 mAh, non-removable","18W wired, PD2.0","Black, Gray, Purple, White",About 500 EUR
Sony Xperia 5,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 66","HSPA 42.2/5.76 Mbps, LTE Cat19 1600/150 Mbps",158 x 68 x 8.2 mm (6.22 x 2.68 x 0.32 in),164 g (5.78 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM,"6.1 inches, 86.9 cm","1080 x 2520 pixels, 21:9 ratio (~449 ppi density)","Android 9.0 (Pie), upgradable to Android 11",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC (uses shared SIM slot),128GB 6GB RAM,"12 MP, f/1.6, 26mm (wide), 1/2.55"", 1.4µm, predictive dual pixel PDAF, 5-axis OIS,
12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, predictive PDAF, 2x optical zoom, 5-axis OIS,
12 MP, f/2.4, 16mm (ultrawide), 1/3.4"", 1.0µm","Color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/30fps HDR, 1080p@60fps, 1080p@30fps (5-axis gyro-EIS)","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",1080p@30fps (5-axis gyro-EIS),"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, aptX HD, LE",Yes,No,"USB Type-C 3.1, OTG","Li-Ion 3140 mAh, non-removable","18W wired, PD2.0","Blue, Red, Black, Grey",About 500 EUR
Sony Xperia L4,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 5, 7, 8, 20, 40","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",159 x 71 x 8.7 mm (6.26 x 2.80 x 0.34 in),178 g (6.28 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.2 inches, 89.8 cm","720 x 1680 pixels, 21:9 ratio (~295 ppi density)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),64GB 3GB RAM,"13 MP, f/2.0, 26mm (wide), 1/3.0"", PDAF,
5 MP, f/2.2, 17mm (ultrawide), 1/5.0"", 1.12µm,
2 MP, f/2.4, (depth),
","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 27mm (wide), 1/4.0"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct","5.0, A2DP, LE",Yes,FM radio,USB Type-C 2.0,Li-Ion 3580 mAh,USB Power Delivery,"Black, Blue",About 200 EUR
Sony Xperia 10 II,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 2100 ,"1, 3, 4, 5, 7, 8, 12, 20, 28, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat11 600/75 Mbps",157 x 69 x 8.2 mm (6.18 x 2.72 x 0.32 in),151 g (5.33 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), plastic frame",Nano-SIM,"6.0 inches, 84.1 cm","1080 x 2520 pixels, 21:9 ratio (~457 ppi density)","Android 10, upgradable to Android 12",Qualcomm SDM665 Snapdragon 665 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM","12 MP, f/2.0, 26mm (wide), 1/2.8"", PDAF,
8 MP, f/2.4, 52mm (telephoto), 1/4.0"", PDAF, 2x optical zoom,
8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0""","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","8 MP, f/2.0, 24mm (wide), 1/4.0""",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD",Yes,No,"USB Type-C 2.0, OTG",Li-Po 3600 mAh,"18W wired, PD, QC3","Black, White, Mint Green, Berry Blue",About 700 EUR
Sony Xperia 1 II,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 66","HSPA 42.2/5.76 Mbps, LTE (6CA) Cat19 1600/150 Mbps, 5G (2+ Gbps DL)",165.1 x 71.1 x 7.6 mm (6.5 x 2.80 x 0.30 in),181.4 g (6.38 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM + Nano-SIM,"6.5 inches, 98.6 cm","1644 x 3840 pixels, 21:9 ratio (~643 ppi density)","Android 10, upgradable to Android 12",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Adreno 650,microSDXC (uses shared SIM slot),"256GB 8GB RAM, 256GB 12GB RAM","12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, dual pixel PDAF, OIS,
12 MP, f/2.4, 70mm (telephoto), 1/3.4"", 1.0µm, PDAF, 3x optical zoom, OIS,
12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.55"", dual pixel PDAF,
0.3 MP, TOF 3D, (depth)","Zeiss optics, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm",1080p@30fps (5-axis gyro-EIS),"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.1, A2DP, aptX HD, LE",Yes,No,"USB Type-C 3.1, OTG",Li-Po 4000 mAh,"21W wired, PD","Black, Purple, Mirror Lake Green",About 700 EUR
Sony Xperia 5 II,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ," 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 46, 48, 66","HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/150 Mbps, 5G",158 x 68 x 8 mm (6.22 x 2.68 x 0.31 in),163 g (5.75 oz),"Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame",Nano-SIM,"6.1 inches, 86.9 cm","1080 x 2520 pixels, 21:9 ratio (~449 ppi density)","Android 10, upgradable to Android 12",Qualcomm SM8250 Snapdragon 865 5G (7 nm+),Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Adreno 650,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.7, 24mm (wide), 1/1.7"", 1.8µm, dual pixel PDAF, OIS,
12 MP, f/2.4, 70mm (telephoto), 1/3.4"", 1.0µm, PDAF, 3x optical zoom, OIS,
12 MP, f/2.2, 124˚, 16mm (ultrawide), 1/2.55"", dual pixel PDAF","Zeiss optics, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/30/60/120fps HDR, 1080p, 5-axis gyro-EIS, OIS","8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm","1080p@30fps, 5-axis gyro-EIS","Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA","5.1, A2DP, aptX HD, LE",Yes,No,"USB Type-C 3.1, OTG",Li-Ion 4000 mAh,"21W wired, PD3.0, 50% in 30 min","Black, Grey, Blue, Pink",About 650 EUR
