Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
vivo Y300t,,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41","HSPA, LTE, 5G",165.7 x 76.3 x 8.1 mm (6.52 x 3.00 x 0.32 in),204 g or 208 g (7.20 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.72 inches, 108.8 cm","1080 x 2408 pixels, 20:9 ratio (~393 ppi density)","Android 15, OriginOS 5",Mediatek Dimensity 7300 (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), PDAF,
2 MP, f/2.4, (depth)","Ring-LED flash, panorama","4K@30fps, 1080p@30fps, gyro-EIS","8 MP, f/2.1, (wide)",1080p@30fps,Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.4, A2DP, LE, aptX HD",Yes,No,"USB Type-C 2.0, OTG",Li-Ion 6500 mAh,"44W wired, 50% in 40 min","Black, White, Blue",About 150 EUR
vivo V40,"[{'128GB 8GB RAM': '₹\u200931,299'}, {'256GB 8GB RAM': '€\u2009399.00'}, {'512GB 12GB RAM': '₹\u200939,999'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - International,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 66 - International","HSPA, LTE, 5G",164.2 x 75 x 7.6 mm (6.46 x 2.95 x 0.30 in),190 g (6.70 oz),"Glass front, plastic frame, glass back",Nano-SIM + Nano-SIM + ,"6.78 inches, 111.0 cm","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","Android 14, Funtouch 14",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF","Zeiss optics, Ring-LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS, OIS","50 MP, f/2.0, 21mm (wide), 1/2.76"", 0.64µm, AF","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Si/C Li-Ion 5500 mAh,"80W wired, PD","Stellar Silver (Titanium Grey), Nebula Purple (Lotus Purple), Ganges Blue, Moonlight White, Sunglow Peach",
vivo iQOO Neo9S Pro+,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41","HSPA, LTE, 5G",163.5 x 75.7 x 8 mm or 8.3 mm,193 g or 198 g (6.81 oz),,Nano-SIM + Nano-SIM,"6.78 inches, 111.0 cm","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","Android 14, OriginOS 4",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.9, (wide), 1/1.56"", PDAF, OIS,
50 MP, f/2.0, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF","LED flash, panorama, HDR","8K, 4K, 1080p, gyro-EIS","16 MP, f/2.5, (wide)",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless, LHDC",Yes,No,"USB Type-C 2.0, OTG",5500 mAh,"120W wired, 70% in 17 min, 100% in 28 min","Blue/White, Black, White",About 380 EUR
vivo iQOO Z9 Lite,"[{'128GB 4GB RAM': '₹\u200910,498'}, {'128GB 6GB RAM': '₹\u200911,498'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 38, 40, 41","HSPA, LTE, 5G",163.6 x 75.6 x 8.4 mm (6.44 x 2.98 x 0.33 in),185 g (6.53 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.56 inches, 103.4 cm","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 14, Funtouch 14",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), PDAF,
2 MP, f/2.4, (depth)","LED flash, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.4, A2DP, LE",No,FM radio,"USB Type-C 2.0, OTG",Li-Ion 5000 mAh,15W wired,"Mocha Brown, Aqua Flow",
vivo V40 Lite,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 66","HSPA, LTE, 5G",164.4 x 74.8 x 7.7 mm (6.47 x 2.94 x 0.30 in),179 g or 188 g (6.31 oz),"Glass front, plastic frame, glass back or plastic back",Nano-SIM + Nano-SIM,"6.78 inches, 111.0 cm","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","Android 14, Funtouch 14",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,microSDXC (uses shared SIM slot),256GB 8GB RAM,"50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF,
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","Ring-LED flash, panorama, HDR","4K@30fps, 1080p@30fps","32 MP, f/2.0, 24mm (wide)",1080p@30fps,Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Ion 5500 mAh,"44W wired, PD","Classy Brown, Dreamy White",About 400 EUR
vivo V40 Pro,"[{'256GB 8GB RAM': '₹\u200942,597'}, {'512GB 12GB RAM': '₹\u200946,651'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - International,"1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 38, 39, 40, 41 - India","HSPA, LTE, 5G",164.4 x 75.1 x 7.6 mm (6.47 x 2.96 x 0.30 in),192 g (6.77 oz),"Glass front, glass back",Nano-SIM + Nano-SIM,"6.78 inches, 111.0 cm","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","Android 14, Funtouch 14",Mediatek Dimensity 9200+ (4 nm),Octa-core (1x3.35 GHz Cortex-X3 & 3x3.0 GHz Cortex-A715 & 4x2.0 GHz Cortex-A510),Immortalis-G715 MC11,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
50 MP, f/1.9, 50mm (telephoto), 1/2.51"", 0.64µm, PDAF, OIS, 2x optical zoom,
50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF","Zeiss optics, Ring-LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS, OIS","50 MP, f/2.0, 21mm (wide), 1/2.76"", 0.64µm, AF","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.3, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Si/C Li-Ion 5500 mAh,"80W wired, PD","Ganges Blue, Titanium Gray, Moonlight White",
vivo iQOO Z9s,"[{'128GB 8GB RAM': '₹\u200919,999'}, {'256GB 8GB RAM': '₹\u200921,999'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 38, 40, 41","HSPA, LTE, 5G",163.7 x 75 x 7.5 mm (6.44 x 2.95 x 0.30 in),180 g or 182 g (6.35 oz),,Nano-SIM + Nano-SIM,"6.77 inches, 110.9 cm",1080 x 2392 pixels (~388 ppi density),"Android 14, up to 2 major Android upgrades, Funtouch 14",Mediatek Dimensity 7300 (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS,
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30/60fps, 1080p, gyro-EIS, OIS","16 MP, f/2.5, (wide), 1/3.0"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE",No,FM radio,"USB Type-C 2.0, OTG",Li-Ion 5500 mAh,44W wired,"Titanium Matte, Onyx Green",
vivo iQOO Z9s Pro,"[{'128GB 8GB RAM': '₹\u200922,999'}, {'256GB 8GB RAM': '₹\u200931,999'}, {'256GB 12GB RAM': '₹\u200933,999'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 38, 40, 41","HSPA, LTE, 5G",163.7 x 75 x 7.5 or 8.0 mm,185 g or 190 g (6.53 oz),,Nano-SIM + Nano-SIM,"6.77 inches, 110.9 cm",1080 x 2392 pixels (~388 ppi density),"Android 14, up to 2 major Android upgrades, Funtouch 14",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS,
8 MP, f/2.2, 120˚ (ultrawide)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS","16 MP, f/2.5, (wide), 1/3.0"", 1.0µm",1080p@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE",No,FM radio,"USB Type-C 2.0, OTG",Li-Ion 5500 mAh,"80W wired, 50% in 21 min","Flamboyant Orange, Luxe Marble",
vivo Y03t,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",163.6 x 75.6 x 8.4 mm (6.44 x 2.98 x 0.33 in),185 g (6.53 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.56 inches, 103.4 cm","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 14, Funtouch 14",Unisoc T612 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/2.2, (wide), PDAF,
0.08 MP, f/3.0 (auxiliary lens)","LED flash, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",Yes,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.2, A2DP, LE",No,FM radio,"USB Type-C 2.0, OTG",Li-Ion 5000 mAh,15W wired,"Space Black, Gem Green",About 70 EUR
vivo Y18i,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 38, 40, 41","HSPA, LTE",163.6 x 75.6 x 8.4 mm (6.44 x 2.98 x 0.33 in),185 g (6.53 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"6.56 inches, 103.4 cm","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Android 14, Funtouch 14",Unisoc T612 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),64GB 4GB RAM,"13 MP, f/2.2, (wide), PDAF,
0.08 MP, f/3.0 (auxiliary lens)","LED flash, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",Yes,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",No,FM radio,"USB Type-C 2.0, OTG",Li-Ion 5000 mAh,15W wired,"Space Black, Gem Green",About 90 EUR
