Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Xiaomi Redmi Pad SE 8.7,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 13, 18, 19, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE - cellular model only",211.6 x 125.5 x 8.8 mm (8.33 x 4.94 x 0.35 in),370 / 373 / 375 g (13.05 oz),Glass front (Gorilla Glass 3),Nano-SIM + Nano-SIM (cellular model only),"8.7 inches, 214.9 cm","800 x 1340 pixels, 5:3 ratio (~179 ppi density)","Android 14, HyperOS",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",LED flash,1080p@30fps,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm",1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE",No,FM radio,USB Type-C 2.0,6650 mAh,18W wired (Int'l),"Aurora Green (Forest Green), Sky Blue (Ocean Blue), Graphite Gray (Urban Grey)",About 120 EUR
Xiaomi Poco M6 Plus,"[{'128GB 6GB RAM': '₹\u200910,499'}, {'128GB 8GB RAM': '₹\u200911,499'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 28, 40, 41","HSPA, LTE, 5G",168.6 x 76.3 x 8.3 mm (6.64 x 3.00 x 0.33 in),205 g (7.23 oz),"Glass front, plastic frame, glass back",Nano-SIM + Nano-SIM,"6.79 inches, 109.5 cm",1080 x 2460 pixels (~396 ppi density),"Android 14, up to 2 major Android upgrades, HyperOS",Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm),Octa-core (2x2.3 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Adreno 613,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM","108 MP, f/1.8, 28mm (wide), 0.64µm, PDAF,
2 MP (macro)","LED flash, HDR, panorama",1080p@30fps,"13 MP, f/2.5, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",No,No,USB Type-C,5030 mAh,33W wired,"Black, Purple, Silver",
Xiaomi Poco Pad 5G,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 , LTE,"HSPA, LTE, 5G",280 x 181.9 x 7.5 mm (11.02 x 7.16 x 0.30 in),568 g (1.25 lb),"Glass front (Gorilla Glass 3), aluminum frame, aluminum back",Nano-SIM,"12.1 inches, 424.5 cm","1600 x 2560 pixels, 16:10 ratio (~249 ppi density)","Android 14, HyperOS",Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",LED flash,1080p@30fps,"8 MP, f/2.3, (wide), 1/4.0"", 1.12µm",1080p@30fps,"Yes, with stereo speakers (4 speakers)",Yes,"WLANWi-Fi 802.11 a/b/g/n/a/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive",No,No,USB Type-C 2.0,10000 mAh,"33W wired, PD3.0, QC3+","Dark Gray, Blue",About 220 EUR
Xiaomi Redmi 14C,"[{'128GB 4GB RAM': '$\u2009112.70'}, {'256GB 4GB RAM': '$\u2009139.99'}, {'256GB 8GB RAM': '$\u2009134.87'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",171.9 x 77.8 x 8.2 mm (6.77 x 3.06 x 0.32 in),204 / 207 / 211 g (7.20 oz),"Glass front (Gorilla Glass 3), plastic frame, glass back or silicone polymer (eco leather) back",Nano-SIM + Nano-SIM,"6.88 inches, 112.4 cm",720 x 1640 pixels (~260 ppi density),"Android 14, HyperOS",Mediatek Helio G81 Ultra (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 28mm (wide), 1/2.96"", PDAF,
or,
50 MP, f/1.8, 28mm (wide), 1/2.76"", 0.64µm, PDAF,
QVGA, f/3.0","LED flash, HDR",1080p@30fps,"13 MP, f/2.0, (wide), 1/3.06""",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.4, A2DP, LE",Yes (market/region dependent),FM radio,"USB Type-C 2.0, OTG",5160 mAh,"18W wired, PD","Midnight Black, Sage Green, Dreamy Purple, Starry Blue",
Xiaomi Redmi 14R,,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 34, 38, 39, 40, 41","HSPA, LTE, 5G",171.9 x 77.8 x 8.2 mm (6.77 x 3.06 x 0.32 in),205.4 / 208.5 / 212.4 g (7.23 oz),"Glass front, plastic frame, glass back or silicone polymer (eco leather) back",Nano-SIM + Nano-SIM,"6.88 inches, 112.4 cm",720 x 1640 pixels (~260 ppi density),"Android 14, HyperOS",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","13 MP, (wide), AF,
2 MP,
Auxiliary lens","LED flash, HDR",1080p@30fps,5 MP,1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE",No,No,USB Type-C 2.0,5160 mAh,"18W wired, PD","Midnight Black, Sage Green, Starry Blue, Purple",About 140 EUR
Xiaomi Redmi Note 14 5G (China),,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 8, 34, 38, 39, 40, 41","HSPA, LTE, 5G",162.4 x 75.7 x 8 mm (6.39 x 2.98 x 0.31 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,"6.67 inches, 107.4 cm","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Android 14, HyperOS",Mediatek Dimensity 7025 Ultra (6 nm),Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,Unspecified,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.5, (wide), 1/1.96"", 0.8µm, PDAF, OIS,
2 MP, f/2.4, (macro)","LED flash, HDR, panorama",1080p@30fps,16 MP,1080p@30fps,"Yes, with stereo speakers",Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Unspecified,Unspecified,USB Type-C 2.0,5110 mAh,45W wired,"Black, White, Green",About 140 EUR
Xiaomi 14T,"[{'512GB 12GB RAM': '$\u2009504.50'}, {'256GB 12GB RAM': '$\u20099,999.99'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 40, 41, 42, 48, 66","HSPA, LTE, 5G",160.5 x 75.1 x 7.8 mm or 8.0 mm,193 g or 195 g (6.81 oz),"Glass front (Gorilla Glass 5), plastic frame, glass back (Panda X)",Nano-SIM + ,"6.67 inches, 107.4 cm","1220 x 2712 pixels, 20:9 ratio (~446 ppi density)","Android 14, upgradable to Android 15, HyperOS 2",Mediatek Dimensity 8300 Ultra (4 nm),Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.7, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
50 MP, f/1.9, 50mm (telephoto), 1/2.76"", 0.64µm, PDAF, 2x optical zoom,
12 MP, f/2.2, 15mm (ultrawide), 1/3.06"", 1.12µm","Leica lens, Ultra HDR, LED flash, HDR, panorama","4K@24/30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS, 10-bit Rec. 2020, HDR10+","32 MP, f/2.0, 25mm (wide), 1/3.44"", 0.64µm","4K@30fps, 1080p@30/60fps, HDR10+","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.4, A2DP, LE, LHDC",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,"67W wired, PD3.0, 100% in 45 min","Titan Gray, Titan Blue, Titan Black, Lemon Green",
Xiaomi 14T Pro,"[{'256GB 12GB RAM': '$\u2009632.00'}, {'512GB 12GB RAM': '$\u2009504.50'}, {'1TB 12GB RAM': '£\u2009579.00'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 48, 66","HSPA, LTE, 5G",160.4 x 75.1 x 8.4 mm (6.31 x 2.96 x 0.33 in),209 g (7.37 oz),"Glass front, aluminum frame, glass back (Panda X)",Nano-SIM + ,"6.67 inches, 107.4 cm","1220 x 2712 pixels, 20:9 ratio (~446 ppi density)","Android 14, HyperOS",Mediatek Dimensity 9300+ (4 nm),Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 12GB RAM","50 MP, f/1.6, 23mm (wide), 1/1.31"", 1.2µm, PDAF, OIS,
50 MP, f/2.0, 60mm (telephoto), 1/2.88"", 0.61µm, PDAF, 2.6x optical zoom,
12 MP, f/2.2, 15mm (ultrawide), 1/3.06"", 1.12µm","Leica lens, Ultra HDR, LED flash, HDR, panorama","8K@24/30fps, 4K@24/30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS, 10-bit Rec. 2020, HDR10+","32 MP, f/2.0, 25mm (wide), 1/3.44"", 0.64µm","4K@30fps, 1080p@30/60fps, HDR10+","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct","5.4, A2DP, LE, LHDC",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Po 5000 mAh,"120W wired, PD3.0, QC4, 100% in 19 min","Titan Gray, Titan Blue, Titan Black",
Xiaomi Redmi A3 Pro,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 , LTE,"HSPA, LTE",171.9 x 77.8 x 8.2 mm (6.77 x 3.06 x 0.32 in),204 g (7.20 oz),,Nano-SIM + Nano-SIM,"6.88 inches, 112.4 cm",720 x 1640 pixels (~260 ppi density),"Android 14, HyperOS",Mediatek Helio G81 Ultra,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),128GB 4GB RAM,"50 MP, f/1.8, (wide),
Auxiliary lens","LED flash, HDR",1080p@30fps,Yes,1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.4, A2DP, LE",Yes (market/region dependent),Unspecified,USB Type-C 2.0,5160 mAh,10W wired,"Blue, Black",About 100 EUR
Xiaomi Redmi A4,"[{'64GB 4GB RAM': '₹\u20098,299'}, {'128GB 4GB RAM': '₹\u20098,999'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,"HSPA, LTE, 5G",171.9 x 77.8 x 8.2 mm (6.77 x 3.06 x 0.32 in),212.4 g (7.51 oz),"Glass front, glass back, plastic frame",Nano-SIM + Nano-SIM,"6.88 inches, 112.4 cm",720 x 1640 pixels (~260 ppi density),"Android 14, up to 2 major Android upgrades, HyperOS",Qualcomm SM4635 Snapdragon 4s Gen 2 (4 nm),Octa-core (2x2.0 GHz Cortex-A78 & 6x1.8 GHz Cortex-A55),Adreno,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.8, (wide),
Auxiliary lens","LED flash, HDR",1080p@30fps,"5 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE",No,Unspecified,USB Type-C 2.0,5160 mAh,18W wired,"Sparkle Purple, Starry Black",
